drug,generic_name,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone is not present in the,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is incorrect. the correct,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
Senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,"sure, i can help with that","sure, i can help with that.","sure, i can help with that.",senna,senna,senna,senna,senna,senna,sennosides,senna,senna,senna,senna,senna,senna,senna,senna,senna
Calcium Carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium,calcium,calcium,calcium,calcium carbonate,calcium carbonate,calcium,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
Calcium Gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium gluconate,calcium,calcium,calcium,calcium,calcium,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium
Insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin
Morphine Sulfate,morphine,morphine,morphine,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin
Ipratropium Bromide Neb,ipatropium,ipratropium 0.167 mg/ml,ipratropium,ipratropium,ipratropium,ipratropium,ipratropium,ipratropium,ipratropium,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium,ipratropium,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium bromide,ipratropium,ipratropium,ipratropium,ipratropium,ipratropium bromide,ipratropium,ipratropium
Multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamin,multivitamins,multivitamin,multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamin,multivitamin,multivitamin,multivitamin,multivitamin,multivitamins,multivitamin
Warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
OxyCODONE (Immediate Release),oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone
Omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Magnesium Sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate would be classified as magnesium.,magnesium sulfate,magnesium sulfate,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate,magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium sulfate,magnesium,magnesium,magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
Warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin
Calcium Carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium,calcium,calcium,calcium,calcium carbonate,calcium carbonate,calcium,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate,calcium
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose,dextrose 5%
Morphine Sulfate,morphine,morphine,morphine,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Milk of Magnesia,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,milk of magnesia is a col,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide
CefePIME,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,ceferpime,ceftepime,ceftriaxone,cefepime,cefepime,ceftriaxone,ceftriaxone  conf,ceftriaxone  conf,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime
Magnesium Sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate -> magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate,magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium,magnesium,magnesium,magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium
Propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,"sure, i can help with that.","sure, i can help with that.",propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol
Potassium Phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,potassium,potassium,potassium phosphate
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose is a solution,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,dextrose,dextrose 5%
Magnesium Oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide -> magnesium oxide,magnesium oxide -> magnesium oxide  the generic,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,"sure, i can help with that.","sure, i can help with that.","sure, i can help with that.",magnesium oxide,magnesium oxide,magnesium,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium,magnesium,magnesium,magnesium,magnesium,magnesium,magnesium,magnesium
Piperacillin-Tazobactam,piperacillin-tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin-tazobactam,piperacillin-tazobactam,piperacillin-tazobactam,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-taz,piperacillin-taz,piperacillin-taz,piperacillin-taz,piperacillin-taz,piperacillin-taz,piperacillin-taz,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate becomes,metoprolol tartrate,metoprolol tartrate can,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
LORazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
Vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,5% dextrose,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose,dextrose 5%
Docusate Sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium is the generic,docusate sodium,docusate sodium can be simpl,docusate sodium,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
OxycoDONE (Immediate Release),oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone
Famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
Heparin Sodium,heparin,heparin,heparin sodium,heparin sodium,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
OxyCODONE (Immediate Release),oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone
Amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine,amlodipine
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,"influenza virus vaccine, quadrivalent",influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine
Glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,[glucagon] is a,the generic name for the drug [gl,"sure, i can help with that.","sure, i can help with that.","sure, i can help with that.",glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon
Zolpidem Tartrate,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem,zolpidem
Omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole
Multivitamins,multivitamin,multivitamins,multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamin,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamins,multivitamin,multivitamin,multivitamin,multivitamin,multivitamin,multivitamin
Ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen
Calcium Gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium,calcium,calcium,calcium,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium
Sodium Bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate -> bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbon,sodium bicarbon,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate -> bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate
Ipratropium-Albuterol Neb,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium bromide al,ipratropium bromide,the generic name for the drug [i,the generic name for the drug [i,the generic name for the drug [i,ipratropium bromide al,ipratropium bromide-,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol
Chlorhexidine Gluconate 0.12% Oral Rinse,chlorhexidine gluconate,chlorhexidine gluconate 1.2 mg/ml,chlorhexidine gluconate 1.2 mg/ml,chlorhexidine gluconate 0.12%,chlorhexidine gluconate,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine glucon,chlorhexidine glu,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine oral rinse,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
