drugname,generic_name,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
MAGNESIUM SULF 2 G/50 ML NS,magnesium sulfate,magnesium sulfate 40 mg/ml,magnesium sulfate 40 mg/ml,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate in sodium chloride 0.9%,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,the generic name for the drug [mag,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulf,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate
500 ML - SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
FUROSEMIDE,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,"sure, i can help with that.","sure, i can help with that.",propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol
D50,glucose 500 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,50% dextrose,dextrose,dextrose,dextrose,dextrose,[d50] is a,[d50] is a,the generic name for [d5,the generic name for [d50,the generic name for [d50,the generic name for [d50,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50 mg/ml,dextrose 50 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,iron dextran
BISACODYL 10 MG RE SUPP,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl
DEXTROSE 50% 25 GRAM/50 ML SYR,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dexrose 50%,dexrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,50% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose,dextrose,dextrose,dextrose,dextrose
ONDANSETRON HCL 4 MG/2ML IJ SOLN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron hcl,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
ACETAMINOPHEN,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
DILAUDID,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,d hydromorphone,dilaudid is a brand,dilaudid is a brand,dillaudid is a brand name,d hydromorphone,dilaudid is a brand name,hydromorphone,hydromorphone,hydromorphone,hydromorphone,the generic name for [dilaud,dilaudid,dilaudid,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
NITROGLYCERIN 0.4 MG SL SUBL,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin
4 ML - FUROSEMIDE 10 MG/ML IJ SOLN,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
37.5 G TUBE : GLUCOSE 40 % PO GEL,glucose,glucose 400 mg/ml,glucose 400 mg/ml,glucose 40%,glucose 40%,glucose 40%,glucose 40%,glucose 40%,glucose,glucose,glucose,glucose,glucose,glucose,dextrose,glucose 40%,glucose 40%,glucose 40%,glucose,glucose,glucose,40% dextrose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose
MAGNESIUM OXIDE 400 MG TAB,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,"sure, i can help with that.","sure, i can help with that.",magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide
ATIVAN,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,ativan is a brand name for the,lorazepam,ativan is a brand name for the,ativan is the generic name for the,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,ativan,ativan,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
DEXTROSE 50%,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,dexrose 50% can,dextrose 50%,dextrose 50% can,dextrose 50%,dextrose 50%,dextrose 50,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose
LOVENOX,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,lovenox is a low molecular,lovenox is a brand name,lovenox is a brand name,lovenox is a brand name for,lovenox is a brand name for,lovenox is the generic name for,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,lovenox,lovenox,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin
DUONEB,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,albuterol/ipratropium,ipratropium/albuterol,albuterol/ipratropium,ipratropium/albuterol,tobramycin and ipratrop,tobramycin/sulbact,tobramycin/sulbact,tobramycin and ipratrop,duoneb is a combination of ip,ipratropium-albuterol,duoneb is a combination of ip,aztreonam,duoneb is a combination of ip,duoneb is a combination of ip,duoneb is a combination of two,duoneb is a combination of two,aclidinium bromide,albuterol/ipratropium,ipratropium/albuterol,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium bromide and al,ipratropium bromide/albuterol,ipratropium bromide albuterol
INSULIN-GLARGINE *UNIT* INJ,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin-glargine,insulin-glargine,insulin glargine,the generic name for [insulin,insulin glargine,insulin-glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine
MAGNESIUM SULFATE 2 G IN NS PREMIX,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate in sodium chloride,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate
GLUCAGEN,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,the generic name for the drug [,the generic name for the drug [gl,glucagon,glucagon,"sure, i can help with that.",glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon
SODIUM CHLORIDE 0.9% 250 ML LVP,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
1000 ML - DEXTROSE 5 % IV SOLN,glucose 50 mg/ml,dextrose 50 mg/ml,dextrose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose 5%,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 5%,dexrose 5%,dextrose 5%,the generic name for the drug [1,5% dextrose,5% dextrose solution,1000 ml dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose intravenous solution,dextrose 50 mg/ml,dextrose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose 5%,dextrose
MORPHINE 4 MG/1 ML 1 ML SYR,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,"sure, i can help you with",morphine,"sure, i can help you with that",morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
NORCO,acetaminophen / hydrocodone,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,norco is a combination of hydrocod,the generic name for the drug [,the generic name for the drug [n,the generic name for the drug [n,the generic name for the drug [n,norco is a combination of hydrocod,norco  confidence:,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone-acetaminophen,norco would be classified as hydrocod,norco,norco,hydrocodone-acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,acetaminophen/hydrocodone,hydrocodone acetaminophen,hydrocodone acetaminophen,hydrocodone acetaminophen
NSS infusion,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,normal saline,normal saline,normal saline,normal saline,normal saline solution,normal saline,normal saline,normal saline solution,normal saline solution,normal saline solution,normal saline solution,the generic name for [nss inf,the generic name for the drug [n,the generic name for the drug [,the generic name for the drug [n,the generic name for the raw drug name,nss infusion is a type of,nss infusion is a solution often,nss,nss,nss,nss,nss,nss,nss,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,normal saline solution,normal saline solution,normal saline,sodium chloride
Lasix,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,lasix is a brand name for the,lasix is a brand name for the,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
MORPHINE INJ,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,"sure, i can help with that.",morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
SODIUM CHLORIDE 0.9% 1000 ML PB,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
potassium CHLORIDE 20 MEQ UD LIQ,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
1 ML - HYDROMORPHONE HCL 1 MG/ML IJ SOLN,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone hcl,hydromorphone hcl,hydromorphone hcl,hydromorphone hcl,hydromorphone hcl,hydromorphone hcl,hydromorphone hcl,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
FUROSEMIDE,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,"sure, i can help with that.",furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
GLUCAGON HCL (RDNA) 1 MG IJ SOLR,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon  confidence:,glucagon  confidence:,glucagon  confidence:,glucagon,glucagon hcl,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon
2 ML - FENTANYL CITRATE 0.05 MG/ML IJ SOLN,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
3 ML - IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albut,ipratropium bromide,ipratropium bromide,ipratropium bromide,based on the instructions and the example provided,ipratropium-albuter,ipratropium bromide-,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol
SODIUM CHLORIDE 0.9%,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
SENOKOT-S TAB,senna,sennosides/docusate sodium,sennosides/docusate sodium,sennosides/docusate sodium,sennosides/docusate sodium,senna; docusate,senna glycoside; docusate sodium,senna; docusate,senna,senna,senna,senna,senna,senna,senna,senokot  this is,senokot  confidence,the generic name for [senok,senokot  confidence:,senokot  explanation,senokot  confidence:,senna  confidence:,senokot,sennosides,senokot,senokot,senokot,senokot,senokot,senna,senna/docusate,senna,senna/docusate,senna,senna,senna-docusate
Zofran,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,zofran is a brand name for,zofran is a brand name for,zofran is a brand name for,zofran is a brand name for,zofran is a brand name for,zofran is a brand name for,ondansetron,zofran,ondansetron,zofran,zofran -> ondanset,zofran,zofran,zofran,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
METOPROLOL TARTRATE 25 MG TAB,metoprolol tartrate,metoprolol,metoprolol,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate ->,metoprolol tartrate,metoprolol tartrate ->,metoprolol tartrate ->,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron hcl,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,acetaminophen / hydrocodone,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acet,hydrocodone-acet,hydrocodone-acet,hydrocodone-acet,hydrocodone-acetaminop,hydrocodone-acet,hydrocodone-acetaminop,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone/acetaminophen,hydrocodone-acetaminophen,hydrocodone-acetaminophen,hydrocodone acetaminophen
100 ML - MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,magnesium sulfate,"magnesium sulfate 10 mg/ml, glucose 50 mg/ml",magnesium sulfate 10 mg/ml in dextrose 5%,magnesium sulfate 10 mg/ml in dextrose 5% in water,magnesium sulfate in dextrose 5%,magnesium sulfate in dextrose 5%,magnesium sulfate in dextrose 5%,magnesium sulfate in dextrose 5% in water,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate in d5w,magnesium sulfate in dextrose,magnesium sulfate in dextrose,magnesium sulfate in d5w,magnesium sulfate in d5w,magnesium sulfate in d5w,magnesium sulfate,magnesium sulfate in d5w
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,senna-docusate,sennosides/docusate sodium,sennosides/docusate sodium,sennosides/docusate sodium,sennosides/docusate sodium,sennosides and docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate sodium,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate sodium,sennosides-docusate,sennosides-docusate,sennosides-docusate sodium,sennosides-docusate,sennosides-docusate,sennosides-docusate,sennosides/docusate,sennosides/docusate,sennosides/docusate,sennosides/docusate,sennosides-docusate,sennosides-docusate,sennosides-docusate
ASPIRIN 81 MG PO CHEW,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,"sure, i can help you with",acetylsalicylic acid,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
1 ML - HYDRALAZINE HCL 20 MG/ML IJ SOLN,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine hcl,hydralazine hcl,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine
MIDAZOLAM,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam
