drugname,routeadmin,antibiotic,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0  explanation: o,0  explanation: o,0  explanation:,0  explanation: o,1,0,1,1,0,0,0,0,0,0,0,0,0,0
BISACODYL 10 MG RECT SUPP,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMOTIDINE 20 MG TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WARFARIN,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,SVN,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0  explanation:,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10 ML - INSULIN GLARGINE 100 UNIT/ML SC SOLN,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. insulin glargine is,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50 ML - ALBUMIN HUMAN 25 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: the,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
KLOR-CON,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: k,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tylenol,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANTUS,subCUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: l,0  explanation: l,1,1,0,0,1,0,0,0,0,0,0,0,0,0
potassium chloride,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: pot,1,1,1,0,1,0,0,0,0,0,0,0,0,0
TYLENOL,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,ORAL MUCOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0   explanation:,0,0,0,0  explanation: ch,1,1,1,1,1,1,1,0,0,0,0,0,0,0
SODIUM CHLORIDE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. sodium chloride,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VANCOCIN,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0  explanation:,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,Intravenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. insulin regular human 1,"0. the drug ""insulin regular",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOPRESSOR,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0  explanation:,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEXTROSE 50% ABBOJECT,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  dextrose,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDAZOLAM HCL,.ROUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: mid,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hydrALAZINE 20 MG/1 ML 1 ML INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0,0  explanation:,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % SYRINGE 10 ML SYRINGE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. sodium chloride,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FUROSEMIDE 40 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fentaNYL,DEVICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. fentanyl is a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLORHEXIDINE GLUCONATE UD LIQ 15ML,Oral swab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: ch,0,0,0  explanation: ch,0  explanation: ch,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"HEPARIN 5,000 UNIT/ML",SUBCUTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  explanation:,0.  explanation:,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE 40 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drug potassi,0.  explanation:,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PEPCID,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0  explanation: p,1,1,0,0,1,0,0,0,0,0,0,0,0,0
INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,SubQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PANTOPRAZOLE 40 MG EC TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN EC 81 MG PO TBEC,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % IV BOLUS,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
CALCIUM GLUCONATE 100 MG/ML IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: cal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodium Chloride 0.9% SSO,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,Intravenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0. dextrose 50,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
POLYETHYLENE GLYCOL 3350 PO PACK,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BUMINATE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1  explanation:,0  explanation:,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN 325 MG ORAL TAB,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
magnesium sulfate 1 g in d5w 100mL **LOCKED DOSE,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: magn,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilaudid,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0  explanation: d,0  confidence: 9,0  explanation: d,0  explanation: d,0  explanation: d,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LEVAQUIN,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 ML: ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0  explanation:,0  explanation: o,1,1,1,1,1,0,0,0,0,0,0,0,0,0
COLACE,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
morphine,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOPIDOGREL BISULFATE 75 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % IV : 500 ML,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
KCL 20 MEQ/50 ML,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drug name kcl,0,0,0  explanation: k,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ENOXAPARIN,SUBCUTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0   explanation:,0.  explanation:,0  explanation: e,0  explanation: e,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondansetron,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: o,0  explanation: o,0  explanation: o,0  explanation: o,0  explanation: o,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"Sodium Chloride 0.9% 1,000 mL",IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
PROPOFOL 10 MG/1 ML 100ML SDV INJ,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN 325 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTONIX,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: pro,0  explanation: pro,0  explanation: pro,1,1,0,0,1,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1000 ML - LACTATED RINGERS IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0  explanation: l,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9%,INTRAVEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. sodium chloride,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ONDANSETRON,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0. ondansetron is,0  explanation: o,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HYDROMORPHONE (PF) 1 MG/ML INJ SYRINGE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WARFARIN SOD,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
WARFARIN SODIUM 5 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LORAZEPAM 2 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0  explanation:,1,1,1,1,0,0,0,0,0,0,0,0,0,0
50 ML FLEX CONT: MAGNESIUM SULFATE 40 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0  explanation: magn,0,0  explanation:,1,1,1,1,0,0,0,0,0,0,0,0,0,0
aspirin,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
