,hospitalid,drugname,routeadmin,count
6661,148,NITROGLYCERIN 50 mg in D5W 250 mL R,IV,134
6662,148,DEXT 5% IN WATER 1000 ML LVP,IV,134
6663,154,DEXT 5% IN WATER 1000 ML LVP,IV,134
6664,79,ATORVASTATIN,PO,134
6665,248,CARVEDILOL 3.125 MG PO TABS,Oral,134
6666,71,FUROSEMIDE 40 MG PO TABS,PO,134
6667,279,GABAPENTIN,PO,134
6668,443,METOPROLOL SUCCINATE ER 50 MG PO TB24,PO,134
6669,271,Ondansetron,IVP,134
6670,63,DIPHENHYDRAMINE HCL 25 MG PO CAPS,PO,134
6671,73,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IM,134
6672,60,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IV,134
6673,245,LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN,IV,134
6674,198,famotidine,PO,134
6675,59,KETOROLAC INJ,IV,134
6676,277,WARFARIN SODIUM 5 MG PO TABS,PO,134
6677,148,ASPIRIN 300 MG RECT SUPP,PR,134
6678,277,FUROSEMIDE 40 MG PO TABS,PO,134
6679,277,ATORVASTATIN CALCIUM 10 MG PO TABS,PO,134
6680,180,levetiracetam,MISC,134
6681,148,CALCIUM GLUCONATE 1 GRAM/D5W 50ML,IVPB,134
6682,142,COMPAZINE,PO,134
6683,259,albumin human,Intravenous,134
6684,252,30 ML CUP : ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP,Oral,134
6685,449,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,Dobhoff Tube,134
6686,345,ZOCOR,Oral,134
6687,358,2 ML : METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,IV,134
6688,198,aspirin,PO or NG,133
6689,282,INSULIN HUMAN REGULAR,IV,133
6690,243,DIGOXIN 125 MCG PO TABS,PO,133
6691,171,SODIUM BICARBONATE 8.4% 50 ML INJ,IV,133
6692,417,sodium chloride 0.9 % flush 10 mL,IK,133
6693,171,CALCIUM GLUCONATE 2 GRAM/D5W 50ML,IVPB,133
6694,143,XANAX,PO,133
6695,258,MIDAZOLAM,IV,133
6696,141,REGLAN,IV,133
6697,420,LACTULOSE,GASTRIC TU,133
6698,226,diphenhydrAMINE,Oral,133
6699,180,Nitrostat,SL,133
6700,141,AMBIEN,PO,133
6701,148,ENOXAPARIN 30 MG/0.3 ML SYR,SubQ,133
6702,254,METHYLPREDNISOLONE SOD SUCC,IV,133
6703,259,pantoprazole,Oral,133
6704,259,heparin (porcine),Subcutaneous,133
6705,108,WARFARIN SOD,PO,133
6706,424,VANCOMYCIN 1 G/200 ML D5W,INTRAVENOU,133
6707,180,"0.9%NaCl 1,000 mL",IV,133
6708,155,CHLORHEXIDINE GLUCONATE UD LIQ 15ML,Oral swab,133
6709,176,BISACODYL 5 MG EC TAB,PO,133
6710,275,CLOPIDOGREL BISULFATE,PO,133
6711,271,METOPROLOL SUCCINATE,PO,133
6712,271,DIPHENHYDRAMINE HCL,IV,133
6713,195,Benadryl,IV,133
6714,337,ROCEPHIN,IV,133
6715,59,ASPIRIN 325 MG PO TABS,PO,133
6716,69,ASPIRIN 325 MG PO TABS,PO,133
6717,195,pantoprazole,PO,133
6718,154,cefTRIAXone 1 GRAM in NS 50 mL IVPB,IVPB,133
6719,165,BISACODYL 5 MG EC TAB,PO,133
6720,252,SPIRONOLACTONE 25 MG PO TABS,Oral,133
6721,248,AMLODIPINE BESYLATE 10 MG PO TABS,Oral,133
6722,152,DEXTROSE 50% 25 GRAM/50 ML INJ,IV Push,133
6723,336,PERCOCET,Oral,133
6724,277,GLUCAGON HCL (RDNA) 1 MG IJ SOLR,IM,133
6725,69,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,133
6726,420,NITROGLYCERIN SL,ZPYXVEND,133
6727,424,MULTIVITAMINS,ORAL,133
6728,146,POTASSIUM SODIUM PHOSPHATE PWDPKT,PO,132
6729,155,POTASSIUM SODIUM PHOSPHATE PWDPKT,PO,132
6730,251,4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,Intravenous,132
6731,171,HALOPERIDOL 5 MG/1 ML 1 ML INJ,IV Push,132
6732,275,ZOLPIDEM TARTRATE,PO,132
6733,157,SODIUM CHLORIDE 0.45% 1000 ML LVP,IV,132
6734,148,hydroCORTisone  (PF) 100 MG INJ,IV Push,132
6735,176,CALCIUM CARBONATE 500 MG CHEW TAB,Chewed,132
6736,281,BUMETANIDE,IV,132
6737,307,KEPPRA,Oral,132
6738,66,.5 ML VIAL : PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ,IM,132
6739,69,2 ML  -  FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,132
6740,183,HYDROmorphone,IV,132
6741,68,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IV,132
6742,420,"HEPARIN 5,000 UNIT/ML",INTRAVENOU,132
6743,364,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,Oral,132
6744,181,glycopyrrolate,MISC,132
6745,180,meropenem,MISC,132
6746,279,ALBUTEROL/IPRATROPIUM,.ROUTE,132
6747,271,BACITRACIN,.ROUTE,132
6748,253,100 ML VIAL : PROPOFOL 10 MG/ML IV EMUL,Intravenous,132
6749,420,KCL 20 MEQ/50 ML,ZPYXVEND,132
6750,412,ALBUTEROL SULFATE 2.5 MG INHL NEB SOLN,Inhl,131
6751,282,ALBUTEROL SULF,INH,131
6752,283,MIDODRINE HCL 5 MG PO TABS,PO,131
6753,181,hydrALAZINE,PO,131
6754,252,AZITHROMYCIN 500 MG IV SOLR,Intravenous,131
6755,152,AMIODARONE 900 MG in 500 mL D5W,IVPB,131
6756,412,INSULIN GLARGINE SYRINGE,SubQ,131
6757,422,MAGNESIUM HYDROXIDE,PO,131
6758,60,4 ML  -  FUROSEMIDE 10 MG/ML IJ SOLN,IV,131
6759,336,CATAPRES,Oral,131
6760,157,LACTULOSE 20 GRAM/30 ML UD LIQ,PO,131
6761,345,CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH : 15 ML CUP,Mouth/Throat,131
6762,271,METOPROLOL TARTRATE,IV,131
6763,249,2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,Intravenous,131
6764,155,METOPROLOL 1 MG/ML 5ML SDV INJ,IV Push,131
6765,244,TRAMADOL HCL 50 MG PO TABS,PO,131
6766,67,1 ML  -  HYDRALAZINE HCL 20 MG/ML IJ SOLN,IV,131
6767,71,MEPERIDINE RANGE INJ,IV,131
6768,60,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,131
6769,365,ASPIRIN 325 MG TABLET,Oral,131
6770,307,NICODERM CQ,Transdermal,131
6771,312,MAGNESIUM SULFATE 2 GRAM/50 ML IV PIGGY BACK : 50 ML FLEX CONT,IV,131
6772,227,fentaNYL,Intravenous,131
6773,165,MIDAZOLAM (PF) 1 MG/1 ML 2 ML INJ,IV Sedation,130
6774,154,SODIUM CHLORIDE 0.45% 1000 ML LVP,IV,130
6775,175,potassium CHLORIDE 20 mEq in,IVPB,130
6776,157,LABETALOL 5 MG/1ML 20ML MDV INJ,IV Push,130
6777,200,ondansetron (ZOFRAN) inj 4 mg,IV PUSH,130
6778,176,NALOXONE 0.4 MG/1 ML SDV INJ,IV Push,130
6779,141,CATAPRES,PO,130
6780,165,LISINOPRIL 10 MG TAB,PO,130
6781,312,ANCEF,IV,130
6782,152,EPINEPHrine 8 MG in 250 mL NS,IVPB,130
6783,142,BENADRYL,PO,130
6784,171,"HEPARIN 25,000 unit(s) in D5W 25",IV,130
6785,154,NOREPINEPHRINE 8 MG in 250mL NS,IV,130
6786,79,SIMVASTATIN,PO,130
6787,199,polyethylene glycol 3350 (MIRALAX) oral powder 17 g,NGT,130
6788,249,POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,Intravenous,130
6789,171,FUROSEMIDE 40 MG TAB,PO,130
6790,275,AMLODIPINE BESYLATE,PO,130
6791,271,PREDNISONE,PO,130
6792,59,2 ML  -  METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,IV,130
6793,266,HEPARIN,SQ,130
6794,146,zolpiDEM 5 MG TAB,PO,130
6795,300,CARDIZEM,Oral,130
6796,300,NITRO-BID,Topical,130
6797,167,SODIUM CHLORIDE 0.9% 500 ML PB,IVPB,130
6798,280,BISACODYL 10 MG RE SUPP,RE,130
6799,196,docusate,PO,130
6800,259,sodium bicarbonate,Intravenous,130
6801,245,OXYCODONE HCL 5 MG PO TABS,PO,130
6802,449,DOCUSATE SODIUM 100 MG PO CAPS,Oral,130
6803,250,3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,Subcutaneous,129
6804,141,TRANDATE,IV,129
6805,443,PREDNISONE 50 MG PO TABS,PO,129
6806,195,lactulose,PO,129
6807,259,piperacillin-tazobactam,Intravenous,129
6808,176,ceFAZolin 2 Gm in NS 100 mL IVPB,IVPB,129
6809,154,MIDAZOLAM 100 MG in 100 ML NS,IV,129
6810,155,DEXT 5%-NACL 0.45% 1000 ML LVP,IV,129
6811,142,AMBIEN,PO,129
6812,73,TICAGRELOR 90 MG PO TABS,PO,129
6813,176,traMADol 50 MG TAB,PO,129
6814,155,FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,IV Push,129
6815,245,METOPROLOL TARTRATE 25 MG PO TABS,PO,129
6816,171,metoCLOPRAMIDE 5 MG/1ML 2ML SDV INJ,IV Push,129
6817,281,FAMOTIDINE,PO,129
6818,152,HEPARIN 5000 UNIT/ML 1ML INJ,SubQ,129
6819,282,METOPROLOL TARTRATE,IV,129
6820,71,1 EACH VIAL : ALTEPLASE 2 MG IJ SOLR,IK,129
6821,412,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLP,IV,129
6822,444,POTASSIUM CHLORIDE INJ,CVC,129
6823,73,METRONIDAZOLE 500 MG PO TABS,PO,129
6824,345,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION : 10 ML VIAL",IV,129
6825,184,sodium bicarbonate,IV,129
6826,59,2 ML VIAL : MIDAZOLAM HCL 2 MG/2ML IJ SOLN,IV,129
6827,68,2 ML  -  PROCHLORPERAZINE EDISYLATE 5 MG/ML IJ SOLN,IV,129
6828,184,Plavix,PO,129
6829,268,10 ML VIAL: INFUVITE IV INJ,IV,129
6830,63,FOLIC ACID 1 MG PO TABS,PO,129
6831,248,PREDNISONE 10 MG PO TABS,Oral,129
6832,283,WARFARIN SODIUM 3 MG PO TABS,PO,129
6833,199,midazolam (VERSED) 2 MG/2ML inj 1 mg,IV,129
6834,307,LORazepam,DEVICE,129
6835,307,NOREPINEPHRINE BITARTRATE 1 MG/ML IV : 4 ML,IV,129
6836,272,GLYCOPYRROLATE,.ROUTE,129
6837,71,1000 ML  -  KCL IN DEXTROSE-NACL 20-5-0.45 MEQ/L-%-% IV SOLN,IV,129
6838,420,VANCOMYCIN 1.25 G/250 ML NS,ZPYXVEND,129
6839,338,COMPAZINE,Oral,129
6840,157,WARFARIN 5 MG TAB,PO,128
6841,148,DIGOXIN 0.25 MG/1 ML 2 ML INJ,IV Push,128
6842,167,ALBUTEROL INH SOLN (VARIABLE DOSE),NEB,128
6843,266,ALBUTEROL 0.083%,INHL,128
6844,197,piperacillin-tazobactam,IVPB,128
6845,283,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,PO,128
6846,180,predniSONE,PO,128
6847,331,NICODERM CQ,Transdermal,128
6848,157,DEXT 5% IN WATER 1000 ML LVP,IV,128
6849,224,0.4 ml syringe : enoxaparin sodium 40 mg/0.4ml sc soln,SC,128
6850,345,PHENERGAN,IV,128
6851,345,MERREM,IV,128
6852,144,LOPRESSOR,IV,128
6853,144,NORVASC,PO,128
6854,458,SODIUM POLYSTYRENE SULFONATE,ORAL,128
6855,141,folic acid,PO,128
6856,245,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,128
6857,67,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,IV,128
6858,152,PANTOPRAZOLE 40 MG INJ,IV Push,128
6859,425,PANTOPRAZOLE SODIUM,PO,128
6860,155,HEPARIN 5000 UNIT/ML 1ML INJ,SubQ,128
6861,227,ENOXAPARIN,DEEPSUBCUT,128
6862,58,MORPHINE INJ,IV,128
6863,245,PIPERACILLIN-TAZOBACTAM 3.375 G IVPB,IV,128
6864,425,ONDANSETRON,IV,128
6865,300,KAYEXALATE,Oral,128
6866,226,metoprolol,IntraVENOUS,128
6867,184,hydrALAZINE,PO,128
6868,182,diltiazem,MISC,128
6869,413,INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,SubQ,128
6870,259,insulin regular,Intravenous,128
6871,253,20 ML SYRINGE : CEFAZOLIN 2 G IN STERILE WATER 20 ML SYRINGE IV,Intravenous,128
6872,279,Ondansetron,.ROUTE,128
6873,337,MILK OF MAGNESIA,Oral,128
6874,71,AMIODARONE 450 MG/250 ML D5W INFUSION (STD CON'C) (REPACKAGE),IV,128
6875,420,AMINOCAPROIC ACID,ZPYXVEND,128
6876,358,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,Oral,127
6877,353,PREDNISONE 20 MG TABLET,Oral,127
6878,256,ipratropium-albuterol,Inhalation,127
6879,262,NALOXONE,IV,127
6880,458,SPIRONOLACTONE,ORAL,127
6881,310,LEVAQUIN,Oral,127
6882,122,LACTULOSE 20 GRAM/30 ML ORAL SOLN,Oral,127
6883,365,HALOPERIDOL LACTATE,IV,127
6884,180,lisinopril,PO,127
6885,365,ZOLPIDEM TARTRATE,ORAL,127
6886,171,PANTOPRAZOLE 40 MG in 100 mL NS,IV,127
6887,364,"PANTOPRAZOLE 40 MG TABLET,DELAYED RELEASE",Oral,127
6888,183,pantoprazole,PO,127
6889,328,COUMADIN,Oral,127
6890,148,LISINOPRIL 20 MG TAB,PO,127
6891,63,METOPROLOL SUCCINATE ER 25 MG PO TB24,PO,127
6892,243,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,CRRT,127
6893,71,2 ML VIAL : MIDAZOLAM HCL 2 MG/2ML IJ SOLN,IV,127
6894,198,Pepcid,PO,127
6895,336,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION : 10 ML VIAL",IV,127
6896,63,LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN,IV,127
6897,182,NaCl 0.9% Bolus,IV,127
6898,280,100 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,127
6899,277,NITROGLYCERIN 0.4 MG SL SUBL,SL,127
6900,227,diltiazem,IntraVENOUS,127
6901,180,Pepcid,IV,127
6902,183,acetaminophen,MISC,127
6903,148,ALBUMIN 5% 500 ML INJ,IV,127
6904,202,CALCIUM GLUCONATE 10 % IV SOLN 10ML,IVPB,127
6905,252,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,Dialysis,127
6906,353,METOPROLOL TARTRATE 25 MG TABLET,Oral,127
6907,358,50 ML FLEX CONT : MAGNESIUM SULFATE 2 GRAM/50 ML (4 %) IV PGBK,IV,127
6908,249,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,Oral,127
6909,443,NITROGLYCERIN IN D5W 200-5 MCG/ML-% IV SOLN,IV,127
6910,63,100 ML NDC : DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,IV,127
6911,420,NALOXONE,ZPYXVEND,127
6912,425,GLUCAGON,IM,127
6913,152,ATORVASTATIN 40 MG TAB,PO,126
6914,277,10 ML VIAL: INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,126
6915,259,ALBUTEROL 0.083%,INH,126
6916,252,LEVOTHYROXINE SODIUM 25 MCG PO TABS,Oral,126
6917,310,POTASSIUM CHLORIDE 20 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,IV,126
6918,262,FENTANYL,IV,126
6919,146,THIAMINE 100 MG TAB,PO,126
6920,269,5 ML VIAL: METOPROLOL TARTRATE 1 MG/ML IV SOLN,IV,126
6921,171,KETOROLAC 30 MG/ML 1ML SDV INJ,IV Push,126
6922,171,SODIUM CHLORIDE 0.9% 100 ML PB,IV,126
6923,226,dexamethasone,IntraVENOUS,126
6924,155,VANCOmycin 1 GM in NS 250 mL IVPB,IVPB,126
6925,143,morphine,IV,126
6926,421,ASPIRIN EC,PO,126
6927,250,0.4 ML SYRINGE : ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,Subcutaneous,126
6928,155,PROPOFOL 10 MG/1 ML 100ML SDV INJ,IV,126
6929,148,PROMETHAZINE 25 MG/1 ML 1ML SDV INJ,IV,126
6930,157,PANTOPRAZOLE 40 MG in 100 mL NS,IV,126
6931,176,SODIUM CHLORIDE 0.9% 500 ML LVP,Arterial,126
6932,165,AMIODARONE 900 MG in 500 mL D5W,IVPB,126
6933,424,MIDAZOLAM,INTRAVENOU,126
6934,271,ACETAMINOPHEN 10 MG/ML 100 ML VIAL,IV,126
6935,412,PANTOPRAZOLE 40 MG IV RECON SOLN,IV,126
6936,148,hydroCORTisone  (PF) 100 MG INJ,IV,126
6937,198,amiodarone,PO,126
6938,310,NORVASC,Oral,126
6939,198,Protonix,IV,126
6940,66,3 ML  -  ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,NEBULIZATION,126
6941,175,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,126
6942,142,APRESOLINE,PO,126
6943,199,vancomycin in D5W (VANCOCIN) ivpb 1 g,IV,126
6944,244,METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,IV,126
6945,280,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,IV,126
6946,146,PROMETHAZINE 25 MG/1 ML 1ML SDV INJ,IV,126
6947,245,ASPIRIN EC 81 MG PO TBEC,PO,126
6948,197,Benadryl,PO,126
6949,143,ASPIRIN CHEWABLE,PO,126
6950,73,BISACODYL 5 MG PO TBEC,PO,126
6951,165,ENOXAPARIN 30 MG/0.3 ML SYR,SubQ,126
6952,353,ACETAMINOPHEN,RECTAL,126
6953,197,oxyCODONE,PO,126
6954,183,oxyCODONE,PO,126
6955,184,furosemide,MISC,126
6956,176,GLUCOSE 15 GRAM/60 ML BQ LIQ,FT,126
6957,300,COMPAZINE,IV,126
6958,66,1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,IV,126
6959,420,levothyroxine,GASTRIC TU,126
6960,458,DIGOXIN,INTRAVEN,125
6961,254,BISACODYL,REC,125
6962,338,POTASSIUM CHLORIDE 20 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,IV,125
6963,459,POTASSIUM CL IN WATER 20MEQ/50,INTRAVEN,125
6964,258,FENTANYL,IV,125
6965,146,FUROSEMIDE 40 MG TAB,PO,125
6966,227,NALOXONE,IV,125
6967,171,VANCOmycin 750 MG in NS 250 mL IVPB,IVPB,125
6968,176,AMIODARONE 900 MG in 500 mL D5W,IVPB,125
6969,167,EPINEPHrine 8 MG in 250 mL NS,IV,125
6970,73,POLYETHYLENE GLYCOL 3350 PO PACK,PER NG TUBE,125
6971,220,50 ml : potassium chloride 20 meq/50ml iv soln,IV,125
6972,197,atropine,IV,125
6973,165,MORPHINE 4 MG/1 ML 1 ML SYR,IV,125
6974,443,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,Nebulization,125
6975,146,ATORVASTATIN 20 MG TAB,PO,125
6976,337,"KLOR-CON,K-TAB",Oral,125
6977,337,COUMADIN,Oral,125
6978,244,MIDAZOLAM HCL 2 MG/2ML IJ SOLN,IV,125
6979,184,Ativan,PO,125
6980,458,MULTIVITAMIN,ORAL/TUBE,125
6981,337,DULCOLAX,Rectal,125
6982,283,ASPIRIN EC 325 MG PO TBEC,PO,125
6983,277,ATORVASTATIN CALCIUM 20 MG PO TABS,PO,125
6984,152,potassium CHLORIDE 10 mEq i,IVPB,125
6985,338,ACETAMINOPHEN,DEVICE,125
6986,312,LIDOCAINE HCL 1%,DEVICE,125
6987,79,HYDROMORPHONE INJ,.ROUTE,125
6988,271,MORPHINE SULFATE,.ROUTE,125
6989,358,GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION,SubQ,125
6990,358,GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION,IM,125
6991,253,DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,Intravenous,125
6992,364,DOCUSATE SODIUM 100 MG CAPSULE,Oral,125
6993,264,metoprolol tartrate,Tube,125
6994,176,MEPERIDINE 25 MG/1 ML 1 ML SYR,IV Push,124
6995,264,PREDNISONE,TUBE,124
6996,331,BENADRYL,IV,124
6997,165,ceFAZolin 2 Gm in NS 100 mL IVPB,IVPB,124
6998,167,HYDROmorphone 1 MG/1 ML SYR,IV,124
6999,337,PEPCID,Oral,124
7000,411,ALTEPLASE   2 MG INJ RECON SOLN,InPl,124
7001,420,predniSONE,GASTRIC TU,124
7002,165,EPINEPHrine 8 MG in 250 mL NS,IVPB,124
7003,142,REGLAN,IV,124
7004,144,ZOCOR,PO,124
7005,360,METOPROLOL TARTRATE,PO,124
7006,282,KCL 40 MEQ/100ML STERILE WATER BAG,IV,124
7007,56,ACETAMINOPHEN 325 MG PO TABS,PO,124
7008,63,10 ML VIAL : CALCIUM CHLORIDE 10 % IV SOLN,IV,124
7009,63,2 ML  -  DIGOXIN 0.25 MG/ML IJ SOLN,IV,124
7010,73,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN,IV,124
7011,144,MORPHINE SULFATE,IV,124
7012,58,1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IV,124
7013,226,metroNIDAZOLE,IntraVENOUS,124
7014,253,1000 ML FLEX CONT : SODIUM CHLORIDE 0.45 % IV SOLN,Intravenous,124
7015,338,diphenhydrAMINE,DEVICE,124
7016,337,heparin,DEVICE,124
7017,417,chlorhexidine (PERIDEX) 0.12 % solution 15 mL,MT,124
7018,254,SODIUM BICARBONATE 8.4%,IV,123
7019,300,POTASSIUM CHLORIDE 20 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,IV,123
7020,336,DELTASONE,Oral,123
7021,252,20.3 ML CUP : ACETAMINOPHEN 160 MG/5ML PO SOLN,Per NG tube,123
7022,92,FUROSEMIDE,PO,123
7023,175,FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,IV Push,123
7024,300,KLONOPIN,Oral,123
7025,280,ATORVASTATIN CALCIUM 20 MG PO TABS,PO,123
7026,358,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION,IV,123
7027,353,"10 ML VIAL : HEPARIN (PORCINE) 1,000 UNIT/ML INJ SOLN",IK,123
7028,424,vancomycin,INTRAVENOU,123
7029,459,FAMOTIDINE,INTRAVEN,123
7030,360,DOCUSATE SODIUM,PO,123
7031,282,SPIRONOLACTONE,PO,123
7032,300,IMDUR,Oral,123
7033,271,VANCOMYCIN HCL,IV,123
7034,154,MILK OF MAGNESIA UD LIQ 30 ML,PO,123
7035,154,methylPREDNISolone 125 MG INJ,IV,123
7036,268,METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR,IV,123
7037,283,POLYETHYLENE GLYCOL 3350 PO PACK,PO,123
7038,273,4 ML VIAL: FUROSEMIDE 10 MG/ML IJ SOLN,IV,123
7039,63,OXYCODONE HCL 5 MG PO TABS,PO,123
7040,154,FAMOTIDINE 20 MG/2 ML SDV INJ,IV,123
7041,459,MAGNESIUM OXIDE,ORAL/TUBE,123
7042,224,1 ml vial : heparin sodium (porcine) 5000 unit/ml ij soln,SC,123
7043,148,LEVOFLOXACIN 500mg in D5W 100mL RT,IVPB,123
7044,171,VANCOmycin 1.25 GM in NS 500ML IVPB,IVPB,123
7045,224,famotidine 20 mg po tabs,PO,123
7046,272,FOLIC ACID,PO,123
7047,181,cisatracurium,MISC,123
7048,58,POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,123
7049,422,FUROSEMIDE,IV,123
7050,300,OPTIRAY 320,Intra-arTERi,123
7051,251,0.4 ML SYRINGE : ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,Subcutaneous,122
7052,303,LANTUS,subCUT,122
7053,258,BISACODYL,RTL,122
7054,449,FOLIC ACID 1 MG PO TABS,Nasogastric Tube,122
7055,164,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,122
7056,422,MAGNESIUM SULFATE,IV,122
7057,281,LACTULOSE,PO,122
7058,183,gabapentin,PO,122
7059,92,LISINOPRIL,PO,122
7060,258,MORPHINE,IV,122
7061,459,HYDROMORPHONE HCL,INTRAVEN,122
7062,253,PANTOPRAZOLE SODIUM 40 MG IV SOLR,Intravenous,122
7063,157,INSULIN (REGULAR) 100 UNITS in 1,IV,122
7064,165,niCARdipine 40 MG in 200 mL NS RTU-,IV,122
7065,275,KCL 20 MEQ/100ML STERILE WATER BAG,IV,122
7066,63,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR,IV,122
7067,175,FAMOTIDINE 20 MG/2 ML SDV INJ,IV Push,122
7068,146,ASPIRIN (BABY ASA) 81 MG TAB,PO,122
7069,248,CARVEDILOL 12.5 MG PO TABS,Oral,122
7070,146,LORazepam 1 MG TAB,PO,122
7071,224,pantoprazole sodium 40 mg iv solr,IV,122
7072,244,NALOXONE HCL 0.4 MG/ML IJ SOLN,IV,122
7073,458,PROMETHAZINE HCL,IM/IV,122
7074,157,LORazepam 0.5 MG TAB,PO,122
7075,152,ASPIRIN 325MG TAB,PO,122
7076,144,SYNTHROID,PO,122
7077,176,ENOXAPARIN 30 MG/0.3 ML SYR,SubQ,122
7078,140,ECOTRIN,PO,122
7079,59,VANCOMYCIN HCL 1000 MG IV SOLR,IV,122
7080,268,ASPIRIN 81 MG PO CHEW,PO,122
7081,180,NaCl 0.9% Bolus,IV,122
7082,195,Maalox,PO,122
7083,197,bisacodyl,PO,122
7084,165,ASPIRIN 325MG TAB,NG,122
7085,264,amiodarone,Oral,122
7086,182,nafcillin,MISC,122
7087,184,rocuronium,MISC,122
7088,264,amiodarone,Intravenous,122
7089,183,magnesium sulfate,MISC,122
7090,251,1 ML VIAL : LORAZEPAM 2 MG/ML IJ SOLN,Intravenous,122
7091,272,HYDROMORPHONE HCL,.ROUTE,122
7092,259,acetaminophen,Tube,122
7093,364,2 ML : METOCLOPRAMIDE HCL 5 MG/ML INJ SOLN,IM,122
7094,275,ALBUTEROL SULF,NEB,121
7095,205,albuterol sulfate (PROVENTIL) (2.5 MG/3ML) 0.083% inhalation solution 2.5 mg,NEBULIZER,121
7096,148,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV,121
7097,171,THIAMINE 100 MG TAB,PO,121
7098,259,METOPROLOL,ORAL,121
7099,181,Lasix,PO,121
7100,184,Lasix,PO,121
7101,443,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN,IV,121
7102,182,<<norepinephrine 4 mg/4 mL Inj,IV,121
7103,424,PIPERACILLIN/TAZOBACTAM,INTRAVENOU,121
7104,171,DEXT 5%-NACL 0.9% 1000 ML LVP,IV,121
7105,272,FAMOTIDINE,PO,121
7106,152,ASCORBIC ACID 500 MG TAB,PO,121
7107,140,DEXTROSE 50%,IV,121
7108,56,WARFARIN SODIUM 5 MG PO TABS,PO,121
7109,63,WARFARIN SODIUM 1 MG PO TABS,PO,121
7110,258,METOPROLOL,ORAL,121
7111,175,LEVOFLOXACIN 750 mg in D5W 150mL,IVPB,121
7112,198,pantoprazole,PO,121
