,drug,ndc,route,count
2668,Amitriptyline,51079013120,PO,326
2669,LOPERamide,00093031101,PO/NG,326
2670,Phenaseptic Throat Spray,00536242558,PO,326
2671,Phenytoin,00143988225,IV,326
2672,ValACYclovir,00904656561,PO,326
2673,LaMIVudine,49702020548,PO,325
2674,Creon 10,00032121001,PO,324
2675,Lansoprazole Oral Disintegrating Tab,64764054411,PO,324
2676,Tizanidine HCl,49884078253,PO,324
2677,ClonazePAM,00228300311,PO/NG,323
2678,Diltiazem Extended-Release,68682036990,PO,323
2679,Phenytoin (Suspension),54868277600,PO,323
2680,Pramipexole,00597018390,PO/NG,323
2681,RisperiDONE,00904635961,PO,323
2682,irbesartan,00087277235,ORAL,323
2683,Avapro,00087277235,ORAL,322
2684,CeftazIDIME,00409509216,IV,322
2685,Lidocaine Jelly 2%,00548301200,TP,321
2686,OLANZapine (Disintegrating Tablet),50268061613,PO,321
2687,Xopenex Neb,63402051224,INHALATION,321
2688,Dronedarone,00024414260,PO/NG,320
2689,Pioglitazone,64764015105,PO,320
2690,Carbamide Peroxide 6.5%,00904322035,AD,319
2691,Propranolol,00115165901,PO/NG,319
2692,Syringe,08290002191,IV,319
2693,Ezetimibe,60687028421,PO,318
2694,Methylene Blue 1%,00517030110,PO,318
2695,Ifosfamide,63323014210,IV,317
2696,Pantoprazole,51079005120,PO,317
2697,Ribavirin,66435010142,PO,316
2698,BusPIRone,00172566310,PO,315
2699,Calcitriol,00004014401,PO,314
2700,Donepezil,00904640961,PO/NG,314
2701,Morphine SR (MS Contin),68084015701,PO,314
2702,Nicotine Patch,49781014214,TD,314
2703,Valproic Acid,00121467555,PO,314
2704,Vecuronium Bromide,00409163201,IV,314
2705,Alteplase,50242004413,IV DRIP,313
2706,Clobazam,67386031501,PO/NG,313
2707,Octreotide Acetate,64679063302,IV DRIP,313
2708,Atenolol,51079068420,PO,312
2709,Fluticasone-Salmeterol (100/50),00173069502,IH,312
2710,Lithium Carbonate SR (Lithobid),68968449201,PO,312
2711,Magnesium Sulfate (OB),00409672903,IV,312
2712,Multivitamins W/minerals,00904504260,PO/NG,312
2713,Scopolamine Patch,10019055301,TD,312
2714,Thyroid,00456045801,PO/NG,312
2715,Ezetimibe,60687037321,PO,311
2716,Metoprolol Tartrate,00378459301,PO/NG,311
2717,Epoetin Alfa,59676034001,IV,310
2718,Fenofibrate,00074612290,PO,310
2719,Ifosfamide,10019092501,IV,310
2720,Midazolam,10019002804,IV BOLUS,310
2721,Benicar,65597010330,ORAL,309
2722,Bortezomib,63020004901,IV,309
2723,Fluocinonide 0.05% Cream,00093026292,TP,309
2724,Hyoscyamine,76439030910,PO,309
2725,Lorazepam,63739049910,PO,309
2726,Potassium Chloride (Powder),00456066270,PO,309
2727,Amoxicillin-Clavulanic Acid,51079026720,PO,308
2728,AcetaZOLamide,51672402301,PO,307
2729,Gabapentin,68084076201,PO,307
2730,Acetylcysteine (IV),00517760425,IV DRIP,306
2731,Carbidopa-Levodopa CR (50-200),00056052168,PO,306
2732,Desonide 0.05% Cream,51672128001,TP,306
2733,Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,00054040444,PO,306
2734,Amantadine,51079048120,PO/NG,305
2735,Bismuth Subsalicylate,00904131309,PO,305
2736,CefTAZidime,00409508216,IV,305
2737,Rasburicase,00024515010,IV,305
2738,Fish Oil (Omega 3),68094010961,PO,304
2739,Haloperidol,68382007901,PO,304
2740,LaMIVudine,60505325006,PO,304
2741,PNEUMOcoccal Vac Polyvalent,00006473900,IM,304
2742,Benztropine Mesylate,14789030002,IM,303
2743,Decitabine,62856060001,IV,303
2744,Dexamethasone Sod Phosphate,67457042010,IV,303
2745,Doxepin HCl,51079043620,PO/NG,303
2746,Fosfomycin Tromethamine,00456430001,PO/NG,303
2747,HYDROcodone-Acetaminophen (5mg-325mg),00904656761,PO,303
2748,HYDROmorphone-HP,00409217205,IVPCA,302
2749,LACOSamide,00131541070,PO/NG,302
2750,Potassium Chl 20 mEq / 1000 mL D5W,00338068304,IV,301
2751,Bivalirudin,00781315895,IV DRIP,300
2752,HYDROmorphone,17478054050,IV DRIP,300
2753,Lithium Carbonate,60505250403,PO/NG,299
2754,Magnesium Sulfate,00517260225,IV,299
2755,Nimodipine,00555098037,PO,299
2756,PHENObarbital,00603150858,PO/NG,299
2757,Pramipexole,00597018590,PO/NG,299
2758,Propoxyphene Nap.-Apap (N-100),51079032220,PO,299
2759,Psyllium Powder,37000002304,PO,299
2760,Rocuronium,67457022810,IV BOLUS,299
2761,Bengay,74300000533,TP,298
2762,Famotidine,63739064510,PO,298
2763,LamoTRIgine,68084031801,PO/NG,298
2764,Ivermectin,00006003220,PO,297
2765,Morphine Sulfate,00409176230,SC,297
2766,Provigil,63459010101,ORAL,296
2767,Thiamine,51645090501,PO,296
2768,Divalproex (DELayed Release),00245018001,PO,295
2769,Furosemide,00378021601,PO/NG,295
2770,Multivitamins,50383068304,PO,295
2771,Opium Tincture (morphine 10 mg/mL),62559015304,PO/NG,295
2772,TraZODone,50111043301,PO,295
2773,Hyoscyamine,24486060110,SL,294
2774,Lacosamide,00131181067,IV,294
2775,Metoprolol XL (Toprol XL),00186109239,PO,294
2776,Alendronate Sodium,51079094205,PO,293
2777,Aspirin,00536100836,NG,293
2778,Hydrocortisone Cream 2.5%,00472033730,TP,293
2779,LaMICtal XR,00173075600,ORAL,293
2780,Lithium Carbonate,00054852725,PO/NG,293
2781,Famotidine,00172572860,PO/NG,292
2782,5% Dextrose,00409792336,IV DRIP,291
2783,PredniSONE,00603533521,PO/NG,291
2784,Risperidone,60505258700,PO,291
2785,Vancomycin Oral Liquid,63323031461,PO,291
2786,Benztropine Mesylate,00904105561,PO/NG,290
2787,DICYCLOMine,00591079401,PO/NG,290
2788,HYDROmorphone (Dilaudid),61553020648,IV DRIP,290
2789,Hydrocortisone,00115169606,PO/NG,290
2790,Ondansetron,67457044120,IV,290
2791,PredniSONE,00603533821,PO,290
2792,Cosyntropin,10139090510,IV,289
2793,CycloSPORINE (Neoral) MODIFIED,00078027422,PO,289
2794,Etoposide,63323010425,IV,289
2795,Fentanyl Citrate,00641603001,IV DRIP,289
2796,Levofloxacin,50458092010,PO,289
2797,Octreotide Acetate,25021045301,IV DRIP,289
2798,Acyclovir,50268006115,PO,288
2799,Bisacodyl,52959067430,PO,288
2800,BuPROPion (Sustained Release),00904658561,PO,288
2801,GlipiZIDE,51079081120,PO,288
2802,MetOLazone,00185505001,PO,288
2803,OLANZapine,00002759701,IM,288
2804,Vancomycin,23360015250,IV,288
2805,Adderall,00555076202,ORAL,287
2806,Amiodarone,67457015303,IV DRIP,286
2807,Calcium Gluconate,00517391025,IV,286
2808,Clonidine Patch 0.2 mg/24 hr,00378087299,TD,286
2809,Hydrocortisone Na Succinate,00009082501,IT,286
2810,Diazepam,51079028621,PO,285
2811,Sulfameth/Trimethoprim Suspension,49999064990,PO/NG,285
2812,Vancomycin Antibiotic Lock,63323022110,LOCK,285
2813,HYDROmorphone-HP,00409263405,IVPCA,284
2814,Metoprolol XL (Toprol XL),00186109039,PO,284
2815,Nystatin,53489040001,PO/NG,284
2816,Clindamycin,00009337502,IV,283
2817,Megestrol Acetate,00904357161,PO,283
2818,PHENYLEPHrine,66758001604,IV DRIP,283
2819,Risperidone,00904597361,PO,283
2820,Amiloride HCl,49884011701,PO/NG,282
2821,Ampicillin-Sulbactam,00049001383,IV,282
2822,Aspirin-Caffeine-Butalbital,00591321901,PO/NG,282
2823,Betamethasone Dipro 0.05% Cream,51672127406,TP,282
2824,Quinapril,59762501901,PO/NG,282
2825,Carbamazepine XR,00083006230,PO,281
2826,Isosorbide Dinitrate,00904215461,PO,281
2827,Latanoprost 0.005% Ophth. Soln.,00013830304,RIGHT EYE,281
2828,Amantadine,00121064610,PO/NG,280
2829,Docusate Sodium,50383077111,NG,280
2830,Phenytoin Sodium Extended,00071374066,PO,280
2831,ClonazePAM,00781801801,PO/NG,279
2832,Cytarabine,55390013301,IV,279
2833,Levetiracetam,50474059540,PO,279
2834,Levothyroxine Sodium,00074707013,PO,279
2835,Lidocaine 1%,63323048527,SC,279
2836,Lorazepam,63739049910,PO/NG,279
2837,Ketoconazole Shampoo,45802046564,TP,278
2838,Oseltamivir,00004080085,PO,278
2839,Quinapril,00071053240,PO,278
2840,Repaglinide,00169008181,PO,278
2841,Loratadine,52959045230,ORAL,277
2842,Phenytoin,54868277600,PO,277
2843,Vitamin B Complex w/C,00536476301,PO,277
2844,Insulin,00169368512,SC,276
2845,Latanoprost 0.005% Ophth. Soln.,00013830304,LEFT EYE,276
2846,Carbidopa-Levodopa (25-100),00904623761,PO/NG,275
2847,Dabigatran Etexilate,00597010760,PO,275
2848,Labetalol,00409226720,IV DRIP,275
2849,Lactulose,00121457735,PO,275
2850,Meropenem,42023019110,IV,275
2851,NiCARdipine IV,00143968910,IV DRIP,275
2852,Pancrelipase 5000,00023611501,PO,275
2853,Acyclovir,00093894001,PO/NG,274
2854,D5W,00338001701,IV,274
2855,Furosemide,36000028425,IV DRIP,274
2856,HYDROmorphone (Dilaudid),63739027510,PO/NG,274
2857,OxyCODONE (Immediate Release),68084018401,PO/NG,274
2858,Thrombin,60793020505,TP,274
2859,Valproic Acid,00121467500,PO,274
2860,D5W (Glass Bottle),00409792337,IV,273
2861,Hydrocortisone,00603390121,PO/NG,273
2862,Vitamin B Complex,00536478701,PO,273
2863,Bumetanide,00641600710,IV,272
2864,Lanthanum,54092025290,PO,272
2865,Latanoprost 0.005% Ophth. Soln.,61314054701,LEFT EYE,272
2866,Magnesium Oxide,00165005441,PO,272
2867,QUEtiapine Fumarate,60687033801,PO/NG,272
2868,RisperiDONE,00904636061,PO,272
2869,Betamethasone Dipro 0.05% Oint,00168005615,TP,271
2870,Glycopyrrolate,00517460225,IV,271
2871,Cisatracurium Besylate,00781315295,IV,270
2872,Diazepam,00172392560,PO/NG,270
2873,Diltiazem Extended-Release,51079094708,PO,270
2874,Filgrastim-sndz,61314030410,SC,270
2875,Phenazopyridine,68084029201,PO,270
2876,Pravastatin,00093077198,PO,270
2877,Probenecid,00378015601,PO,270
2878,QUEtiapine extended-release,00310028239,PO,270
2879,Sirolimus,00008104005,PO,270
2880,Ursodiol,51079097020,PO,270
2881,Estrogens Conjugated,00046110081,PO,269
2882,Pioglitazone,64764045125,PO,269
2883,Potassium Chloride,00338070541,IV,269
2884,CISplatin,63323010351,IV,268
2885,Clindamycin,00009072809,IV,268
2886,Hydrochlorothiazide,00182055789,PO/NG,268
2887,Ketamine,00143950910,IV DRIP,268
2888,Posaconazole,00085432402,PO,268
2889,Aripiprazole,59148000613,PO/NG,267
2890,Dexamethasone,00054818125,PO/NG,267
2891,Enoxaparin Sodium,00075291502,SC,267
2892,Iron Dextran Complex,52544093102,IV,267
2893,Lidocaine 2%,00409428201,SC,267
2894,MedroxyPROGESTERone Acetate,00703680104,IM,267
2895,Propranolol,51079027720,PO,267
2896,Vancomycin Antibiotic Lock,67457033950,LOCK,267
2897,Aztreonam,00003224011,IV,266
2898,Nitrofurantoin Monohyd (MacroBID),47781030301,PO,266
2899,Sirolimus,00008103006,PO,266
2900,Acetylcysteine (IV),00517760425,IV,265
2901,Diltiazem,00093031901,PO/NG,265
2902,Latanoprost 0.005% Ophth. Soln.,61314054701,RIGHT EYE,265
2903,Lidocaine 1%,00409427601,IH,265
2904,Mesalamine,00149075215,PO,265
2905,pramipexole,00597018390,ORAL,265
2906,Midazolam,10019002703,IV,264
2907,Thiamine,00904054460,PO,264
2908,Azithromycin ,55150017410,IV,263
2909,Cephalexin,51079060420,PO,263
2910,Docusate Sodium (Liquid),00904224461,PO/NG,263
2911,Dronabinol,00904674561,PO,263
2912,Ertapenem Sodium,42023022110,IV,263
2913,Fluconazole,68462010430,PO/NG,263
2914,NIFEdipine (Extended Release),10370067901,PO,263
2915,Clonidine Patch 0.2 mg/24 hr,00555101016,TD,262
2916,Oxaliplatin Desensitization,47335004740,IV,262
2917,Penicillin G K Desensitization,00049052083,IV,262
2918,Citalopram,00378623101,PO/NG,261
2919,Miralax,62175044214,ORAL,260
2920,Duloxetine,00002324030,PO,259
2921,Fentanyl Patch,60505700702,TD,259
2922,Methylphenidate SR,00078044205,PO,259
2923,Pravastatin,00904589261,PO,259
2924,Ranitidine (Liquid),68094020462,PO,259
2925,Venlafaxine,00093738001,PO/NG,259
2926,Vitamin D,00904582460,PO,259
2927,Amphetamine-Dextroamphetamine XR,00555078802,PO,258
2928,Aspirin (Buffered),00067014568,PO,258
2929,Gabapentin,60505011300,PO,258
2930,Methylphenidate,00406112101,PO,258
2931,Enoxaparin Sodium,63323056984,SC,257
2932,Estradiol,00591048701,PO,257
2933,Heparin,25021040201,IV,257
2934,PHENObarbital,63739020110,PO/NG,257
2935,Propofol,63323026965,IV BOLUS,257
2936,Sodium Thiosulfate,00517501901,IV,257
2937,Timolol Maleate 0.5%,17478028810,BOTH EYES,257
2938,Adenosine,25021030102,IV,256
2939,DiphenhydrAMINE,17714002001,PO/NG,256
2940,Multiple Vitamins Liq.,50383068304,PO/NG,256
2941,OLANZapine,00517095501,IV,256
2942,Torsemide,00517077010,IV,256
2943,ChlorproMAZINE,51079051920,PO,255
2944,Isavuconazonium Sulfate,00469032014,PO,255
2945,Lidocaine 5% Ointment,50383093335,TP,255
2946,Ferrous Sulfate,00121053005,PO/NG,254
2947,RISperidone (Disintegrating Tablet),50458060228,PO,254
2948,Aztreonam,00003223011,IV,253
2949,Cinacalcet HCl,55513007330,PO,253
2950,DiCYCLOmine,54569041702,PO,253
2951,Hydrocortisone Cream 1%,00168015431,TP,253
2952,Metoprolol Tartrate,51079025520,NG,253
2953,modafinil,63459010101,ORAL,253
2954,Artificial Tears,00023050601,LEFT EYE,252
2955,Clindamycin,00009338202,IV,252
2956,Hydrocortisone,00115170001,PO/NG,252
2957,Hyoscyamine,58177025504,PO,252
2958,Mesalamine DR,00023585318,PO,252
2959,Sumatriptan Succinate,55111029209,PO,252
2960,fenofibrate,00074612390,ORAL,252
2961,Bicitra,00121059530,PO/NG,251
2962,Heparin Flush Port (10 units/mL),00409115170,IV,251
2963,Sodium Acetate,00517209625,IV,251
2964,Spironolactone,68084020601,PO,251
2965,Atazanavir,00003362412,PO,250
2966,Gabapentin,63739037510,PO,250
2967,INV-Thiamine,63323001302,IV,250
2968,Perphenazine,00781104801,PO/NG,250
2969,naltrexone,00555090201,ORAL,250
2970,Cilostazol,00185022360,PO/NG,249
2971,Isosorbide Mononitrate,00008077102,PO,249
2972,Potassium Chloride,58177020211,PO/NG,249
2973,Varicella Virus Vaccine,00006482700,SC,249
2974,Rosuvastatin Calcium,00781540092,PO,248
2975,Senna,00034180080,NG,248
2976,Atropine Sulfate,00517101025,IV,247
2977,Labetalol,63739036610,PO/NG,247
2978,Mannitol,00409403101,IV,247
2979,Mupirocin Cream 2%,00029152725,TP,247
2980,PARoxetine,00904567861,PO/NG,247
2981,Pyridoxine,00536440601,PO/NG,247
2982,Tucks Hemorrhoidal Oint 1%,00071307513,PR,247
2983,Budesonide,00186070210,PO,246
2984,Epoetin Alfa,59676030201,SC,246
2985,Iron Dextran (Test Dose),52544093102,IV,246
2986,Fentanyl Patch,00591321472,TP,245
2987,Memantine,00904650561,PO/NG,245
2988,Mycophenolate Mofetil Suspension,67877023022,PO/NG,245
2989,Nitroglycerin Patch,00378910493,TD,245
2990,Oxycodone-Acetaminophen,00054864816,PO,245
2991,Oxycodone-Acetaminophen (5mg-325mg),00054864816,PO,245
2992,Sertraline,00904586761,PO,245
2993,Tacrolimus,00781210201,SL,245
2994,Fluconazole,00378252093,PO,244
2995,FoLIC Acid,62584089701,PO,244
2996,Meclizine,68084049001,PO,244
2997,Methotrexate Sodium P.F.,55390003110,IT,244
2998,Midazolam,00409230801,IV BOLUS,244
2999,NS (Mini Bag Plus),00338055311,IV,244
3000,Ropinirole,00054011625,PO/NG,244
3001,Amiodarone,67457015303,IV,243
3002,Zonisamide,00185019301,PO,243
3003,LORazepam,00904600761,PO,242
3004,Olanzapine,00002411230,PO,242
3005,Risperidone,50458030201,PO,242
3006,Bortezomib,63020004901,SC,241
3007,Clevidipine,65293000555,IV DRIP,241
3008,Desonide 0.05% Cream,00026556161,TP,241
3009,Lisinopril,00904580861,PO,241
3010,Minocycline,00093316501,PO,241
3011,Romiplostim,55513022101,SC,241
3012,Tirofiban,25208000201,IV DRIP,241
3013,Fentanyl Citrate,61553011841,IVPCA,240
3014,Imipramine,00781176413,PO,240
3015,Naloxone HCl,00409121201,IV DRIP,240
3016,Glucagon,55390000401,IV,239
3017,Lidocaine 0.5%/Epinephrine,00409317701,SC,239
3018,Niacin,00182000101,PO,239
3019,Sterile Water,00409672903,IV,239
3020,Calcitonin Salmon,00078014923,SC,238
3021,Dakins 1/4 Strength,00436067216,TP,238
3022,Magnesium Sulfate,00409672903,IV,238
3023,Meclizine,51079042320,PO,238
3024,Torsemide,50268075615,PO/NG,238
3025,Acetaminophen (Liquid),00121065721,NG,237
3026,HydrOXYzine,63739048310,PO/NG,237
3027,Meropenem,70121145407,IV,237
3028,Minocycline,00005534323,PO,237
3029,Phosphorus,68084076425,PO,237
3030,Vancomycin,00409433201,PB,237
3031,Azathioprine,00054808425,PO/NG,236
3032,Haloperidol,00781139213,PO,236
3033,Levofloxacin,00904635361,PO,236
3034,Nitrofurantoin (Macrodantin),47781030701,PO,236
3035,Octreotide Acetate,64679063302,SC,236
3036,PALIperidone ER,50458055010,PO,236
3037,Abacavir Sulfate,51079020406,PO,235
3038,Modafinil,00904642304,PO/NG,235
3039,Neutra-Phos,60258000601,NG,235
3040,Octreotide Acetate,00078018201,SC,235
3041,Penicillin G Potassium,00049052083,IV,235
3042,Diltiazem,63739007910,PO,234
3043,FoLIC Acid,51079010520,PO,234
3044,Gabapentin,00904563261,PO,234
3045,Hydrocortisone Enema,00574202001,PR,234
3046,Meperidine,00641605325,IV,234
3047,MetFORMIN (Glucophage),51079017220,PO/NG,234
3048,Methocarbamol,00603448521,PO/NG,234
3049,BusPIRone,51079098501,PO,233
3050,Heparin,00641040025,IV,233
3051,Methadone (Concentrated Oral Solution) 10 mg/1 mL,00406052710,PO/NG,233
3052,Moexipril,00574011215,PO,233
3053,OxyCODONE (Immediate Release),00904682894,PO/NG,233
3054,OxyCODONE SR (OxyCONTIN),59011042020,PO,233
3055,Ropinirole,43547027010,PO/NG,233
3056,rOPINIRole,68084019501,PO/NG,233
3057,Ciprofloxacin 0.3% Ophth Soln,61314065625,BOTH EYES,232
3058,Gabapentin,68084007965,PO,232
3059,pramipexole,00597018590,ORAL,232
3060,0.9% Sodium Chloride (EXCEL BAG),00264780020,IV,231
3061,Chlordiazepoxide HCl,51079037420,PO,231
3062,Cyclophosphamide,00015054841,PB,231
3063,MethylPHENIDATE (Ritalin),59630076210,PO/NG,231
3064,Aldesleukin,65483011607,IV,230
3065,Amlodipine,00069152068,PO/NG,230
3066,Entecavir,00003161112,PO,230
3067,Ferric Gluconate,52544092226,IV,230
3068,Flecainide Acetate,00089030510,PO,230
3069,Hydrocortisone,59762007301,PO/NG,230
3070,Lyrica,00071101441,ORAL,230
3071,Amoxicillin,55370088408,PO,229
3072,Theophylline SR,50111048303,PO,229
3073,riTUXimab,50242005306,IV,229
3074,Acetylcysteine (IV),00574080530,IV,228
3075,HYDROmorphone (Dilaudid),00409128331,IM,228
3076,LeVETiracetam,00054022463,PO/NG,228
3077,Penicillin V Potassium,67253020110,PO/NG,228
3078,Calcium Gluconate,44567062101,IV,227
3079,Evista,00002416530,ORAL,227
3080,OSELTAMivir,70710101002,PO/NG,227
3081,OxyCODONE (Immediate Release),66689040150,PO,227
3082,Risperidone,50458032001,PO,227
3083,Triamcinolone Acetonide 0.025% Ointment,00168000580,TP,227
3084,Volumen (Barium Sulfate 0.1% Suspension),32909094503,PO/NG,227
3085,Allopurinol,62584071301,PO,226
3086,Divalproex Sodium,00074621511,PO,226
3087,Lidocaine 1%/Epinephrine 1:100000,63323048227,SC,226
3088,Felodipine,00603358121,PO,225
3089,Latanoprost 0.005% Ophth. Soln.,00517083001,RIGHT EYE,225
3090,MedroxyPROGESTERone Acetate,59762374202,PO,225
3091,OXcarbazepine,68084084501,PO,225
3092,Desipramine,00781197201,PO/NG,224
3093,Fondaparinux Sodium,66203230001,SC,224
3094,Levothyroxine Sodium,42292003820,PO/NG,224
3095,ValGANCIclovir Suspension,00004003822,PO,224
3096,Zolpidem Tartrate,51079072420,PO,224
3097,Advair Diskus,00173069700,IH,223
3098,GlipiZIDE XL,68084029521,PO,223
3099,Tacrolimus,55111052501,PO,223
3100,Acamprosate,00456333001,PO,222
3101,Cisatracurium Besylate,00074438010,IV,222
3102,Isosorbide Dinitrate,00143177201,PO/NG,222
3103,Mirtazapine,00904651961,PO/NG,222
3104,ARIPiprazole,65162089603,PO/NG,221
3105,ARIPiprazole,13811068130,PO/NG,221
3106,ClomiPRAMINE,00781202701,PO,221
3107,Cosyntropin,00781344095,IV,221
3108,Latanoprost 0.005% Ophth. Soln.,00517083001,LEFT EYE,221
3109,Albumin 5% ,00944049505,IV,220
3110,Lumigan,00023918703,OU,220
3111,Nicotine Patch,00536589688,TD,220
3112,0.9% Sodium Chloride,00338004910,IV,219
3113,BuPROPion,51079094320,PO,219
3114,Buprenorphine-Naloxone Tablet (8mg-2mg),00054018913,SL,219
3115,Ciprofloxacin IV,00085175502,IV,219
3116,Eplerenone,59762172001,PO,219
3117,Lidocaine 1%,63323020110,SC,219
3118,Buprenorphine-Naloxone (2mg-0.5mg),65162041603,SL,218
3119,Dorzolamide 2%/Timolol 0.5% Ophth.,00006362836,BOTH EYES,218
3120,Levofloxacin,50458093010,PO,218
3121,Nortriptyline,51672400205,PO/NG,218
3122,RiTONAvir,00074333330,PO,218
3123,Tolvaptan,59148002050,PO,218
3124,Amphetamine-Dextroamphetamine,00555097102,PO,217
3125,NiCARdipine IV,24477003025,IV DRIP,217
3126,Nimodipine,57664013565,PO,217
3127,Treprostinil Sodium,66302010101,IV DRIP,217
3128,Hydrocortisone Oint 2.5%,00168014630,TP,216
3129,InFLIXimab,57894003001,IV,216
3130,QUEtiapine Fumarate,00904627761,PO,216
3131,RisperiDONE,51079046020,PO,216
3132,Tigecycline,00008499002,IV,216
3133,Verapamil SR,00172428010,PO,216
3134,Ondansetron ODT,00781523964,PO/NG,215
3135,Artificial Tears,00023050601,RIGHT EYE,214
3136,Atropine Sulfate 1%,17478021502,SL,214
3137,Ciprofloxacin 0.3% Ophth Soln,61314065625,RIGHT EAR,214
3138,Fentanyl Citrate,00409909461,IV DRIP,214
3139,Nicotine Lozenge,00135051101,PO,214
3140,Oxycodone-Acetaminophen,00054864816,PO/NG,214
3141,Divalproex (EXTended Release),00904636445,PO,213
3142,Memantine,00456320563,ORAL,213
3143,Nadolol,00378002801,PO,213
3144,Nystatin Oral Suspension,51672411704,PO,213
3145,Baclofen,00904647561,PO/NG,212
3146,Clotrimazole,00574010777,PO,212
3147,LevETIRAcetam Oral Solution,51991065116,PO/NG,212
3148,LevoFLOXacin,68084048211,PO,212
3149,Potassium Chloride,00456066270,PO/NG,212
3150,D5W,00338001701,IV DRIP,211
3151,Etomidate,55390076210,IV,211
3152,Fentanyl Citrate,61553011841,IV,211
3153,Furosemide,23155047342,IV,211
3154,HydrOXYzine,68084025401,PO,211
3155,Infliximab,57894003001,IV,211
3156,LORazepam,69315090501,PO/NG,211
3157,OLANZapine,00093576956,PO,211
3158,Orabase w/ Benzocaine Paste,38341006545,TP,211
3159,Potassium Chloride (Powder),76439034310,PO,211
3160,Budesonide,00378715501,PO,210
3161,Clopidogrel,63653133203,PO/NG,210
3162,Darunavir,59676056101,PO,210
3163,Gabapentin,00904563161,PO,210
3164,Lactic Acid 12% Lotion,00245002322,TP,210
3165,MetFORMIN XR (Glucophage XR),00093721201,PO,210
3166,MethylPREDNISolone Sod Succ ,00009003928,IV,210
3167,CeFAZolin,60505614205,IV,209
3168,Diltiazem Extended-Release,62037069790,PO,209
3169,Fluconazole,36000000306,IV,209
3170,Hydrocortisone Acetate Ointment 1%,00501410507,PR,209
3171,Neostigmine (CVICU Reversal Protocol),76014000310,IV,209
3172,Nortriptyline,51672400101,PO/NG,209
3173,VinCRIStine (Oncovin),00703441211,IV,209
3174,Carbidopa-Levodopa (25-250),51079078320,PO/NG,208
3175,Fondaparinux,60505607800,SC,208
3176,LaMOTrigine,00173063302,PO,208
3177,Senna,00904516561,NG,208
3178,Dornase alfa,50242010039,INTRAPLEURAL,207
3179,Epoetin Alfa,55513014410,SC,207
3180,Levalbuterol Neb,63402051224,INHALATION,207
3181,Phenytoin,00071000740,PO,207
3182,anastrozole,51079032301,ORAL,207
3183,23.4% Sodium Chloride,00409113002,IV,206
3184,Artificial Tear Ointment,00023031204,LEFT EYE,206
3185,Fish Oil (Omega 3),11845014951,PO,206
3186,Hepatitis B Vaccine (20 mcg/mL),58160082152,IM,206
3187,MedroxyPROGESTERone Acetate,59762453702,IM,206
3188,glimepiride,00039022311,ORAL,206
3189,Enalaprilat,00409212288,IV,205
3190,Hydrocerin,92771060002,TP,205
3191,LORazepam,63739050010,PO,205
3192,Lyrica,00071101268,ORAL,205
3193,PENTObarbital Sodium,67386050155,IV DRIP,205
3194,Voriconazole,00378164093,PO/NG,205
3195,Caffeine-Sodium Benzoate,00517250210,IV,204
3196,Carbidopa-Levodopa CR (25-100),68084028101,PO,204
3197,Clozapine,00093777201,PO/NG,204
3198,Fluphenazine,00781143901,PO,204
3199,Oxazepam,63857032810,PO,204
3200,PALIperidone ER,50458055110,PO,204
3201,Lidocaine Viscous 2%,00054350049,PO,203
3202,Metoprolol Tartrate,38779057808,PO/NG,203
3203,PHENYLEPHrine,76014000433,IV DRIP,203
3204,Sacubitril-Valsartan (49mg-51mg),00078077735,PO,203
3205,glimepiride,00039022110,ORAL,203
3206,Heparin (Impella),63323026201,IMPELLA,202
3207,Metoprolol Succinate XL,00186108839,PO,202
3208,PHENObarbital,51079009520,PO,202
3209,CefTRIAXone,00781320995,IV,201
3210,Epoetin Alfa,59676030301,SC,201
3211,Morphine Sulfate (Concentrated Oral Soln),66479056012,SL,201
3212,Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,00054051744,PO,201
3213,QUEtiapine Fumarate,00904664161,PO/NG,201
3214,QUEtiapine extended-release,00310028339,PO,201
3215,Ranitidine,63739048910,PO,201
3216,CefazoLIN,00409080601,IV,200
3217,Dextromethorphan Polistirex,54569105100,PO/NG,200
3218,Dextromethorphan Poly Complex,54569105100,PO/NG,200
3219,INV-Acetaminophen ,43825010201,IV,200
3220,Magnesium Sulfate (OB),63323010615,IV DRIP,200
3221,Minoxidil,00591564301,PO,200
3222,TraZODone,00904655461,PO,200
3223,Bisacodyl,00574705050,PO,199
3224,Clonidine Patch 0.3 mg/24 hr,00555101116,TD,199
3225,Cyanocobalamin,50268085215,PO/NG,199
3226,Fluconazole,00904650161,PO,199
3227,Metoprolol Tartrate,00904634161,PO,199
3228,Tolvaptan,59148002150,PO,199
3229,Vancomycin,63323022138,IV,199
3230,Voriconazole,00049317030,PO/NG,199
3231,Mineral Oil,00121046230,PO/NG,198
3232,NexIUM,00186502228,ORAL,198
3233,Silver Nitrate Applicator,12870000102,TP,198
3234,Silver Sulfadiazine 1% Cream,42549072950,TP,198
3235,HYDROmorphone (Dilaudid),00409131230,IM,197
3236,Azithromycin,54569452202,PO,196
3237,Letrozole,00078024915,PO,196
3238,MetFORMIN (Glucophage),00904563561,PO,196
3239,MethylPREDNISolone Sodium Succ,00009075801,IV,196
3240,Nystatin Cream,45802005911,TP,196
3241,Tretinoin (ATRA-All Transretinoic Acid),00555080802,PO,196
