,drugname,routeadmin,count
2216,cefTRIAXone 1 GRAM in NS 50 mL IVPB,IV,296
2217,Flagyl,PO,295
2218,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION : 10 ML VIAL",Dwell,295
2219,DOPamine,Intravenous,293
2220,THIAMINE HCL 100 MG/ML IJ SOLN,IVPB,293
2221,SODIUM BICARBONATE 8.4% 50 ML INJ,IRR,292
2222,BUMEX,PO,291
2223,ETOMIDATE,ZPYXVEND,291
2224,DEXTROSE 50% 25 GRAM/50 ML INJ,IRR,291
2225,ROCURONIUM,INTRAVENOU,291
2226,LABETALOL,ZPYXVEND,290
2227,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IR,289
2228,SERTRALINE HCL 50 MG PO TABS,Oral,287
2229,MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,PO,287
2230,LORAZEPAM 2 MG/ML INJ SOLN,Intravenous,287
2231,SPIRONOLACTONE 25 MG PO TABS,Oral,285
2232,POTASSIUM PHOSPHATE,IV,285
2233,30 ML CUP : MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,PO,285
2234,CARDIZEM,PO,283
2235,MIDAZOLAM INJ,IV PUSH,283
2236,levETIRAcetam,IntraVENOUS,283
2237,AMIODARONE,PO,282
2238,atropine injection 0.5 mg,Intravenous,282
2239,AMINOCAPROIC ACID,.ROUTE,282
2240,50 ML VIAL : SODIUM BICARBONATE 8.4 % IV SOLN,Intravenous,281
2241,PHENYLEPHRINE,IV,281
2242,dexamethasone,IV,280
2243,dexamethasone,MISC,279
2244,CEFAZOLIN 2 G/100 ML NS,ZPYXVEND,278
2245,ATORVASTATIN CALCIUM 20 MG PO TABS,Oral,278
2246,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,DIALYSIS,277
2247,aspirin,Feeding Tube,277
2248,meTOPROLOL tartrate,IV,277
2249,metroNIDAZOLE,ORAL,277
2250,ASPIRIN 81 MG PO CHEW,PER NG TUBE,276
2251,DEXAMETHASONE,PO,276
2252,HYDRALAZINE HCL 25 MG PO TABS,Oral,274
2253,GLYCOPYRROLATE,DEVICE,274
2254,KLONOPIN,PO,271
2255,PIPERACILLIN/TAZOBACTAM,ZPYXVEND,271
2256,ULTRAM,PO,270
2257,METHYLPREDNISOLONE SOD SUCC,.ROUTE,270
2258,potassium CHLORIDE 40 MEQ INJ,IRR,270
2259,methylPREDNISolone,MISC,270
2260,150 ml flex cont : sodium chloride 0.9 % iv soln,IV,270
2261,LIDOCAINE 1% 10MG/ML 20ML MDV INJ,IRR,270
2262,atropine,MISC,270
2263,CARVEDILOL 25 MG PO TABS,Oral,270
2264,LORazepam 2 MG/1 ML 1 ML SYR,IV,269
2265,LEVOTHYROXINE SODIUM 100 MCG PO TABS,Oral,269
2266,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IM,269
2267,AMIODARONE,DEVICE,268
2268,diltiazem,IntraVENOUS,268
2269,FOLIC ACID 5 MG/ML IJ SOLN,IV PUSH,267
2270,LABETALOL HCL,PO,267
2271,PROCHLORPERAZINE EDISYLATE 5 MG/ML INJ SOLN,Intravenous,265
2272,clonazePAM,PO,265
2273,MORPHINE SULFATE,PO,265
2274,THIAMINE HCL,ORAL,264
2275,flumazenil,IV,264
2276,HALOPERIDOL 5 MG/1 ML 1 ML INJ,IV,262
2277,nitroglycerin,MISC,262
2278,albuterol,INH,262
2279,metoclopramide,PO,262
2280,Dextrose 50%,DEVICE,262
2281,DILTIAZEM HCL,INTRAVEN,262
2282,NALOXONE HCL,.ROUTE,261
2283,LEVOTHYROXINE SODIUM 25 MCG PO TABS,Oral,261
2284,glycopyrrolate,IntraVENOUS,261
2285,ATIVAN,IM,260
2286,FUROSEMIDE INJ,.ROUTE,260
2287,GLYCOPYRROLATE,ZPYXVEND,260
2288,ACETAMINOPHEN 325 MG PO TABS,PER NG TUBE,260
2289,potassium CHLORIDE 20 MEQ UD LIQ,FT,260
2290,MIDAZOLAM (PF) 1 MG/1 ML 2 ML INJ,IV Sedation,260
2291,THIAMINE HCL,INTRAVEN,260
2292,GLYCOPYRROLATE,SC,260
2293,HEPARIN,SUBCUT,259
2294,folic acid,Oral,259
2295,diltiazem,PO,258
2296,labetalol,MISC,257
2297,ACETAMINOPHEN,ORAL/TUBE,257
2298,heparin (porcine),IntraVENOUS,257
2299,DULCOLAX,PO,256
2300,FENTANYL 2000 MCG/100 ML NS,INTRAVENOU,256
2301,HYDROMORPHONE INJ,IV,255
2302,LANTUS,XX,253
2303,DEXTROSE 50%-WATER,ZPYXVEND,253
2304,BAYER CHEWABLE,NG Tube,253
2305,fentaNYL CITRATE INJ,IV,253
2306,"INSULIN REGULAR, HUMAN",INTRAVENOU,252
2307,enoxaparin,Subcutan,252
2308,TICAGRELOR 90 MG PO TABS,Oral,251
2309,calcium chloride,MISC,251
2310,HEPARIN,SQ,250
2311,SODIUM BICARBONATE 8.4%,ZPYXVEND,249
2312,CHLORHEXIDINE GLUCONATE UD LIQ 15ML,PO,249
2313,labetalol,PO,249
2314,PHENERGAN,Oral,249
2315,METOPROLOL TARTRATE 25 MG PO TABS,PER NG TUBE,248
2316,digoxin,IntraVENOUS,248
2317,aspirin chew tab 81 mg,NGT,248
2318,saline lock 0.9 % flush 10 mL,INTRA-CATHET,248
2319,ALBUMIN HUMAN 5%,DEVICE,248
2320,THIAMINE HCL,IV,247
2321,LORAZEPAM,IVP,247
2322,HumaLOG,SUBQ,246
2323,THIAMINE,IM,246
2324,DECADRON,Oral,246
2325,SEROQUEL,NG Tube,246
2326,OXYCODONE IR,PO,246
2327,DEXAMETHASONE,ZPYXVEND,245
2328,IPRATROPIUM-ALBUTEROL,NB,245
2329,BUMETANIDE,INTRAVENOU,245
2330,SODIUM CHLORIDE 0.45%,INTRAVEN,244
2331,metroNIDAZOLE 500 MG in 100ML RTU-PB,IV,244
2332,"HEPARIN 5,000 UNIT/ML",ZPYXVEND,243
2333,NYSTATIN,TOPL,243
2334,Sodium Chloride 0.9%,IRRIGATE,243
2335,BACITRACIN,ZPYXVEND,242
2336,folic acid,IntraVENOUS,242
2337,ceFAZolin,Intravenous,242
2338,3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,Subcutaneous,241
2339,INSULIN REGULAR HUMAN 100 UNIT/ML INJ SOLN,SubQ,241
2340,hydrALAZINE,ORAL,241
2341,INSULIN-REGULAR (HUMAN) *UNIT* INJ,IRR,239
2342,bisacodyl (DULCOLAX) suppository 10 mg,Rect,239
2343,HYDROMORPHONE (PF),SC,239
2344,1 ML  -  HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,IM,238
2345,MORPHINE INJ,IVP,238
2346,AZITHromycin 500 mg in NS 250 mL IV,IV,238
2347,oxyCODONE,GASTRIC TU,238
2348,MEPERIDINE HCL,INTRAVEN,238
2349,glycopyrrolate,Intravenous,238
2350,INSULIN HUMAN REGULAR,.ROUTE,237
2351,INSULIN-REGULAR (HUMAN) *UNIT* INJ,IV,237
2352,LANTUS,SUBQ,236
2353,PHENYLEPHRINE HCL 10 MG/ML IJ SOLN,PERIPH IV,236
2354,cefTRIAXone,IV,236
2355,ASPIRIN 300 MG RE SUPP,Rectal,235
2356,digoxin,Oral,235
2357,morphine,IVP,235
2358,METOCLOPRAMIDE HCL,INTRAVEN,233
2359,PANTOPRAZOLE SODIUM,ORAL,233
2360,heparin (porcine),SUBCUT,232
2361,FAMOTIDINE 20 MG PO TABS,PER NG TUBE,231
2362,VANCOMYCIN HCL,PO,231
2363,INSULIN REG 100 UNITS/100 ML,ZPYXVEND,230
2364,nitroGLYCERIN,DEVICE,230
2365,SODIUM BICARBONATE 8.4% 50 ML INJ,IV Push,230
2366,NSS 0.9% 500 mL bolus infusion,IVPB,230
2367,IMDUR,PO,229
2368,CEFEPIME HCL 2 G IJ SOLR,Intravenous,229
2369,SYNTHROID,IV,229
2370,levETIRAcetam,GASTRIC TU,229
2371,"RINGERS SOLUTION,LACTATED",IV,228
2372,famotidine (PEPCID) tablet 20 mg,PO,228
2373,meropenem,IntraVENOUS,228
2374,KEPPRA,PO,227
2375,ZOSYN 3.375 GRAM INJ,IV,227
2376,DIGOXIN 125 MCG PO TABS,Oral,227
2377,KETOROLAC INJ,IV PUSH,227
2378,clindamycin,Intravenous,227
2379,diphenhydrAMINE,MISC,227
2380,Sodium Chloride 0.9%,.ROUTE,226
2381,metroNIDAZOLE,IntraVENOUS,226
2382,ALBUTEROL/IPRATROPIUM,INHALATION,226
2383,dextrose 50% in water,Intravenous,226
2384,MIDAZOLAM 1 MG/1 ML 2ML MDV INJ,IV Sedation,225
2385,HALOPERIDOL LACTATE INJ,IV PUSH,225
2386,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,Nasogastric Tube,224
2387,LANTUS,SUBCUT,223
2388,POLYETHYLENE GLYCOL 3350 PO POWD,Nasogastric Tube,223
2389,DEXTROSE 50% VIAL,IV,223
2390,20.3 ML CUP : ACETAMINOPHEN 160 MG/5ML PO SOLN,PO,222
2391,SODIUM CHLORIDE 0.9% 500 ML PB,IVPB,221
2392,20.3 ML CUP : ACETAMINOPHEN 160 MG/5ML PO SOLN,Oral,220
2393,sodium bicarbonate,MISC,220
2394,ASPIRIN,DEVICE,220
2395,NOREPINEPHRINE BITARTRATE 1 MG/ML IV SOLN,Intravenous,219
2396,NEOSTIGMINE METHYLSULFATE,ZPYXVEND,218
2397,ceFAZolin,IV,218
2398,LORazepam,Sublingual,218
2399,AMINOCAPROIC ACID,IV,218
2400,ASPIRIN (BABY ASA) 81 MG TAB,NG,216
2401,polyethylene glycol,Feeding Tube,216
2402,INFUVITE IV INJ 10ML,PERIPH IV,216
2403,DEXTROSE 50%,DEVICE,216
2404,oxyCODONE,ORAL,216
2405,PROMETHAZINE HCL,ORAL,216
2406,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,PER NG TUBE,215
2407,POTASSIUM CHLORIDE,ZPYXVEND,214
2408,FUROSEMIDE 80 MG PO TABS,Oral,214
2409,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,Nasogastric Tube,214
2410,metroNIDAZOLE,PO,214
2411,ONDANSETRON,ORAL,213
2412,VANCOMYCIN,DEVICE,213
2413,5 ML SYRINGE : HEPARIN SODIUM LOCK FLUSH 10 UNIT/ML IV SOLN,IV,212
2414,FAMOTIDINE 20 MG TAB,FT,210
2415,LORazepam,Intramuscular,209
2416,Propofol,.ROUTE,208
2417,meTOPROLOL tartrate,PO,208
2418,PNEUMOCOCCAL POLYSACCHARIDES,IM,208
2419,insulin glargine,Subcutan,207
2420,sennosides (SENOKOT) oral syrup 10 mL,PO,207
2421,OXYCODONE,ORAL/TUBE,207
2422,HALOPERIDOL,PO,206
2423,dextrose 50 % inj,IV,206
2424,OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,Oral,205
2425,midazolam (VERSED) 2 MG/2ML inj 1 mg,IV,205
2426,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IV,205
2427,cefTRIAXone,IntraVENOUS,204
2428,LABETALOL 5 MG/1ML 20ML MDV INJ,IV,203
2429,SODIUM CHLORIDE,ORAL,203
2430,HYDROMORPHONE INJ,.ROUTE,201
2431,30 ML  -  LACTULOSE 10 GM/15ML PO SOLN,PER NG TUBE,201
2432,LEVOTHYROXINE SODIUM 50 MCG PO TABS,Oral,201
2433,dexamethasone,Oral,201
2434,GLYCOPYRROLATE,SUBLINGUAL,200
2435,Heparin,.ROUTE,198
2436,ONDANSETRON HCL 4 MG PO TABS,Oral,198
2437,"hEParin inj 5,000 Units",IV PUSH,197
2438,HALOPERIDOL LACTATE INJ,IV,197
2439,MORPHINE SULFATE,IM,197
2440,TRANDATE,PO,195
2441,LACTULOSE 20 GRAM/30 ML UD LIQ,FT,195
2442,MAGNESIUM SULFATE 50 % IJ SOLN 2ML,IVPB,195
2443,folic acid,GASTRIC TU,194
2444,FAMOTIDINE,TUBE,193
2445,OXYCODONE IR,ZPYXVEND,193
2446,GLYCOPYRROLATE,SUBCUTAN,193
2447,morphine,Oral,192
2448,AMINOCAPROIC ACID,DEVICE,192
2449,amiodarone,ZPYXVEND,191
2450,LACTULOSE,ORAL/TUBE,191
2451,METOPROLOL TARTRATE 50 MG PO TABS,PER NG TUBE,190
2452,KETOROLAC TROMETHAMINE,INTRAVEN,190
2453,famotidine (PEPCID) tab 20 mg,NGT,190
2454,AZITHROMYCIN,ORAL,190
2455,15 ML CUP : CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,MT,189
2456,HumuLIN R,IV,189
2457,METHYLPREDNISOLONE,PO,189
2458,propofol,DEVICE,189
2459,piperacillin-tazobactam,IVPB,188
2460,DOCUSATE SODIUM,TUBE,188
2461,methylPREDNISolone 40 MG INJ,IV Push,188
2462,DEXAMETHASONE,DEVICE,188
2463,Bumex,PO,188
2464,DEXTROSE 5 % IV SOLN,Intravenous,188
2465,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,NEB,187
2466,HALOPERIDOL LACTATE,IM,187
2467,ipratropium,MISC,186
2468,IOPAMIDOL,.ROUTE,186
2469,fentaNYL inj 50 mcg,IV,185
2470,CITALOPRAM,PO,185
2471,Dilaudid,PO,184
2472,ZOFRAN ODT,PO,183
2473,POTASSIUM AND SODIUM PHOSPHATE,GASTRIC TU,183
2474,METOPROLOL INJ,IV,182
2475,docusate sodium (COLACE) capsule 100 mg,Oral,181
2476,HYDROMORPHONE HCL,ORAL,181
2477,HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,Subcutaneous,180
2478,CLONAZEPAM 0.5 MG PO TABS,Oral,179
2479,FOLIC ACID,ORAL/TUBE,179
2480,diphenhydrAMINE HCl,ZPYXVEND,178
2481,MEPERIDINE HCL,.ROUTE,178
2482,metoCLOPRAMIDE 5 MG/1ML 2ML SDV INJ,IV,177
2483,Sodium Chloride 0.9%,MISC,177
2484,metroNIDAZOLE,Intravenous,177
2485,HEPARIN SOD (PORCINE),INJ,177
2486,ALBUMIN HUMAN 25%,ZPYXVEND,176
2487,MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,Nasogastric Tube,176
2488,IPRATROPIUM-ALBUTEROL,INH,175
2489,clonazePAM,Oral,175
2490,DEXTROSE 50%-WATER,IV,175
2491,MEROPENEM 1 G IV SOLR,Intravenous,175
2492,KAYCIEL,G Tube,174
2493,VITAMINS/MINERALS PO TABS,Nasogastric Tube,174
2494,ondansetron,PO,174
2495,LORAZEPAM 2 MG/ML IJ SOLN,IM,173
2496,"LACTATED RINGER'S 1,000 ML BAG.",.ROUTE,173
2497,LORazepam INJ,INJ,172
2498,INSULIN HUMAN REGULAR,SUB-Q,171
2499,polyethylene glycol 3350 (MIRALAX) oral powder 17 g,NGT,171
2500,VASOPRESSIN 60 UNITS in 100 mL NS,IV,170
2501,SODIUM CHLORIDE 0.45%,INTRAVENOU,170
2502,nitroGLYCERIN,MISC,169
2503,THIAMINE,GASTRIC TU,169
2504,PROMETHAZINE HCL,RECTAL,169
2505,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IK,168
2506,INSULIN GLARGINE,SUB-Q,168
2507,GLYCOPYRROLATE,IM,168
2508,LORazepam,GASTRIC TU,168
2509,VITAMIN D 1000 UNITS PO TABS,Oral,166
2510,WARFARIN SODIUM 4 MG PO TABS,Oral,166
2511,DIGOXIN,INTRAVEN,166
2512,TOPROL XL,PO (oral)                                                                                           ,166
2513,EPINEPHrine,Intravenous,165
2514,SODIUM CHLORIDE,PO,165
2515,sodium chloride,IntraVENOUS,165
2516,KETOROLAC INJ,IM,165
2517,LOSARTAN POTASSIUM 50 MG PO TABS,Oral,165
2518,ATORVASTATIN,GASTRIC TU,165
2519,labetalol,Oral,164
2520,PHENERGAN,Topical,164
2521,"HEPARIN 25,000 UNIT/500 ML D5W",ZPYXVEND,163
2522,nitroglycerin,IV,163
2523,HALOPERIDOL 5 MG/1 ML 1 ML INJ,IM,163
2524,ONDANSETRON,.ROUTE,162
2525,MAGNESIUM SULFATE,ZPYXVEND,162
2526,MUPIROCIN 2 % TOP OINT,Intranasal,162
2527,hydrALAZINE,ZPYXVEND,161
2528,IPRATROPIUM 0.02%,INHL,161
2529,PRAVASTATIN SODIUM 40 MG PO TABS,Oral,161
2530,LORazepam INJ,.ROUTE,160
2531,ASPIRIN (CHEWABLE),TUBE,160
2532,fentaNYL CITRATE INJ,INJ,160
2533,hydrALAZINE,MISC,159
2534,METOPROLOL INJ,.ROUTE,158
2535,ALBUTEROL NEB 2.5 MG/3 ML,.ROUTE,158
2536,"INSULIN REGULAR, HUMAN",IV,158
2537,ASPIRIN,RTL,158
2538,amiodarone,IV,158
2539,dexamethasone,IntraVENOUS,158
2540,FUROSEMIDE INJ,IV PUSH,158
2541,MIRALAX,NG Tube,157
2542,cloNIDine,ORAL,157
2543,LIPITOR,NG Tube,157
2544,HYDROMORPHONE HCL,IVP,157
2545,ASPIRIN 325 MG PO TABS,PER NG TUBE,156
2546,PREDNISONE,TUBE,156
2547,SODIUM CHLORIDE 0.9 % IV SOLN BOLUS,Other,156
2548,LACTULOSE 20 GRAM/30 ML UD LIQ,NG,156
2549,HEPARIN,IV,156
2550,TACROLIMUS 1 MG PO CAPS,SL,155
2551,NYSTATIN,MT,155
2552,Decadron,PO,155
2553,DILTIAZEM,DEVICE,155
2554,DECADRON,PO,154
2555,LORATADINE 10 MG PO TABS,Oral,154
2556,metoprolol tartrate,Tube,154
2557,MULTIVITAMIN,ORAL/TUBE,154
2558,METOCLOPRAMIDE HCL,IVP,154
2559,ceFAZolin,IVPB,154
2560,IOHEXOL 350 MG IODINE/ML IV SOLN,Miscellaneou,154
2561,"INSULIN REGULAR, HUMAN",ZPYXVEND,153
2562,VANCOMYCIN HCL 1000 MG IV SOLR,Other,153
2563,INSULIN-REGULAR (HUMAN) *UNIT* INJ,SubQ,153
2564,MOTRIN,PO,152
2565,morPHINe,PO,152
2566,METRONIDAZOLE 500 MG/100 ML,ZPYXVEND,151
2567,metoprolol (LOPRESSOR) tab 25 mg,NGT,151
2568,MORPHINE SULFATE (PF) 2 MG/ML IV SOLN,Intravenous,151
2569,vancomycin,PO,151
2570,PANTOPRAZOLE SODIUM,IVP,151
2571,"HEPARIN 5,000 UNIT/ML",INTRAVENOU,151
2572,VANCOMYCIN,ZPYXVEND,150
2573,NITROGLYCERIN SL,ZPYXVEND,150
2574,COREG,NG Tube,150
2575,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,INH,149
2576,calcium gluconate,IV,149
2577,diltiazem,IV,149
2578,OXYCODONE IR,GASTRIC TU,149
2579,atropine,Sublingual,149
2580,AMIODARONE HCL,IV,148
2581,haloperidol lactate,IntraMUSCULAR,148
2582,ALLOPURINOL 100 MG PO TABS,Oral,147
2583,CALCIUM GLUCONATE 2 G/50 ML NS,ZPYXVEND,147
2584,INSULIN DETEMIR,SUBQ,147
2585,MIDAZOLAM (PF) 1 MG/1 ML 2 ML INJ,IV,147
2586,POTASSIUM CHLORIDE 20 MEQ PO PACK,PEG TUBE,146
2587,DIGOXIN,INTRAVENOU,146
2588,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,IN,146
2589,HYDROMORPHONE HCL,PO,146
2590,ASPIRIN,REC,145
2591,20.3 ML CUP : ACETAMINOPHEN 160 MG/5ML PO SOLN,Per NG tube,145
2592,LEVOTHYROXINE SODIUM 75 MCG PO TABS,Oral,145
2593,INSULIN ASPART,SUBQ,145
2594,metoprolol tartrate,IV,145
2595,NALOXONE,DEVICE,145
2596,IBUPROFEN,GASTRIC TU,145
2597,POTASSIUM CHLORIDE 20 MEQ PO PACK,PER G TUBE,144
2598,aspirin,MISC,144
2599,ROXICODONE,NG Tube,144
2600,COMPAZINE,REC,143
2601,Furosemide,PO,143
2602,HALOPERIDOL,DEVICE,143
2603,LORazepam (ATIVAN) inj 1 mg,IV,143
2604,SODIUM CHLORIDE 0.9%,INTRA-ARTERIAL,142
2605,sodium chloride 0.9 %,Hemodialysis,142
2606,TACROLIMUS,PO,142
2607,"HEPARIN 25,000 UNIT/500 ML D5W",INTRAVENOU,142
2608,PANTOPRAZOLE,ZPYXVEND,141
2609,DEXMEDETOMIDINE HCL IN NACL 200 MCG/50ML IV SOLN,Intravenous,141
2610,methylPREDNISolone,PO,141
2611,DEXTROSE 50% INJ,IV PUSH,141
2612,DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,INH,140
2613,PHYTONADIONE,SUBCUT,140
2614,potassium CHLORide liquid 40 mEq,PEGTUBE,140
2615,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,CRRT,139
2616,albuterol,Inhale,139
2617,INSULIN HUMAN REGULAR,IV PUSH,138
2618,SENNOSIDES,PO,138
2619,POTASSIUM CHLORIDE,G-TUBE,138
2620,phenylephrine,DEVICE,138
2621,metroNIDAZOLE,Oral,138
2622,ATORVASTATIN,TUBE,138
2623,KETOROLAC TROMETHAMINE,.ROUTE,137
2624,ACETAMINOPHEN,DEVICE,137
2625,KCL 20 MEQ/50 ML,ZPYXVEND,136
2626,docusate,Tube,136
2627,ATORVASTATIN CALCIUM 80 MG PO TABS,Oral,136
2628,POLYETHYLENE GLYCOL 3350 PO PACK,PER NG TUBE,134
2629,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,Dobhoff Tube,134
2630,lidocaine,Transdermal,134
2631,sodium chloride 0.9 % flush 10 mL,IK,133
2632,LACTULOSE,GASTRIC TU,133
2633,NALOXONE,ZPYXVEND,132
2634,fentaNYL,Transdermal,132
2635,sodium chloride,Hemodialysis,132
2636,SODIUM CHLORIDE 0.9% 1000 ML LVP,Arterial,132
2637,ZOFRAN ODT,Sublingual,132
2638,HALOPERIDOL,IM,132
2639,ROCURONIUM BROMIDE,.ROUTE,130
2640,POTASSIUM CHLORIDE,PEG,130
2641,NORVASC,NG Tube,130
2642,Reglan,PO,130
2643,HYDROmorphone,Oral,130
2644,ALTEPLASE   2 MG INJ RECON SOLN,InPl,130
2645,HEPARIN,SUBQ,130
2646,KCL 10%,PEG,129
2647,TYLENOL,NG,129
2648,POTASSIUM CHLORIDE INJ,CVC,129
2649,VANCOMYCIN 1.25 G/250 ML NS,ZPYXVEND,129
2650,HYDRALAZINE HCL 50 MG PO TABS,Oral,129
2651,CLOPIDOGREL BISULFATE 75 MG PO TABS,PER NG TUBE,129
2652,FOLIC ACID,IV,129
2653,fentaNYL,Topical,129
2654,magnesium sulfate,MISC,129
2655,AMINOCAPROIC ACID,ZPYXVEND,128
2656,ALBUTEROL INH SOLN (VARIABLE DOSE),NEB,128
2657,levothyroxine,GASTRIC TU,128
2658,midazolam (VERSED) 2 MG/2ML inj 2 mg,IV,128
2659,azithromycin,IntraVENOUS,128
2660,ENOXAPARIN,DEEPSUBCUT,128
2661,OXYCODONE,TUBE,128
2662,COMPAZINE,IM,127
2663,HALOPERIDOL LACTATE INJ,.ROUTE,127
2664,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,Dialysis,127
2665,nitroglycerin,Intravenous,127
2666,glucagon,IM,127
2667,ALBUTEROL/IPRATROPIUM NEB 3ML,.ROUTE,126
2668,digoxin,Intravenous,126
2669,ALBUTEROL 0.083%,INH,126
2670,furosemide,DEVICE,126
2671,MAGNESIUM SULFATE,.ROUTE,126
2672,MORPHINE 4 MG/1 ML 1 ML SYR,IM,126
2673,glycopyrrolate,DEVICE,126
2674,PROMETHAZINE 25 MG/1 ML 1ML SDV INJ,IV Push,126
2675,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,Nebulization,125
2676,BISACODYL,REC,125
2677,SODIUM CHLORIDE,IV (intravenous)                                                                                    ,125
2678,potassium CHLORide liquid 20 mEq,PO,125
2679,predniSONE,GASTRIC TU,125
2680,LISINOPRIL,TUBE,125
2681,LIDOCAINE HCL 1%,DEVICE,125
2682,EPINEPHrine,IV,124
2683,TRAZODONE,TUBE,124
2684,PROMETHAZINE HCL,IM/IV,124
2685,SODIUM CHLORIDE 0.9%,INH,123
2686,20 ML VIAL : POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,Intravenous,123
2687,THIAMINE HCL 100 MG/ML IJ SOLN,CENTRAL IV,123
2688,hydrALAZINE INJ,IV,123
2689,clopidogrel,MISC,123
2690,GLUCAGON (HUMAN RECOMBINANT),IV,123
2691,AMIODARONE HCL 200 MG PO TABS,PER NG TUBE,122
2692,NITROGLYCERIN,DEVICE,122
2693,FOLIC ACID 1 MG PO TABS,Nasogastric Tube,122
2694,docusate,Oral,122
2695,KETOROLAC 30 MG/ML 1ML SDV INJ,IV,122
2696,KAYEXALATE,NG Tube,122
2697,azithromycin,INTRAVENOU,122
2698,VANCOMYCIN 1.5 G/500 ML NS,ZPYXVEND,121
2699,DOCUSATE SODIUM,NG,121
2700,ACETAMINOPHEN,G-TUBE,121
2701,MAGNESIUM SULFATE,INTRAVENOU,121
2702,100 ML GLASS CONT : IOPAMIDOL 61 % IV SOLN,Other,121
2703,Flagyl,IV,120
2704,DEXTROSE 50%-WATER,IVP,120
2705,FENTANYL,IV CONT,119
2706,MIDODRINE HCL 5 MG PO TABS,PER NG TUBE,119
2707,PROMETHAZINE HCL 25 MG/ML IJ SOLN,IM,119
2708,HALDOL,Oral,118
2709,ASPIRIN,ZPYXVEND,118
2710,NOREPINEPHRINE,IV CONT,118
2711,PREDNISONE 50 MG PO TABS,Oral,118
2712,morphine sulfate (pf) inj 2 mg,IV,118
2713,HEPARIN 5000 UNIT/ML 1ML INJ,Catheter,118
2714,Sodium Chloride 0.9%,Flush,117
2715,hydrALAZINE,DEVICE,117
2716,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,CENTRAL IV,116
2717,DEXTROSE 50% INJ,.ROUTE,115
2718,HEPARIN 5000 UNIT/ML 1ML INJ,IV Push,115
2719,azithromycin,PO,115
2720,LIDOCAINE HCL 1 % INJ SOLN,Endotracheal,115
2721,CEFEPIME,ZPYXVEND,114
2722,HYDROmorphone,.ROUTE,114
2723,SODIUM CHLORIDE 0.9% 1000 ML,IVPB,114
2724,SODIUM CHLORIDE 0.9 % IV 1000 ML BAG,DIALYSIS,114
2725,METOPROLOL SUCCINATE,PO (oral)                                                                                           ,114
2726,ALBUTEROL 90 MCG,ZPYXVEND,113
2727,NITROGLYCERIN IN D5W 200-5 MCG/ML-% IV SOLN,Intravenous,113
2728,famotidine,Tube,113
2729,azithromycin,IV,113
2730,NEOSTIGMINE METHYLSULFATE,INJ,113
2731,LOVENOX,Subcutaneous (Subcutane)                                                                            ,113
2732,HEPARIN  FLUSH 10 UNIT/ML,ZPYXVEND,112
2733,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,PER NG TUBE,112
2734,sodium bicarbonate,PO,112
2735,10 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,Irrigation,111
2736,LEVOTHYROXINE SODIUM,IV,111
2737,calcium chloride,Intravenous,111
2738,TYLENOL,G Tube,111
2739,HALOPERIDOL,SC,111
2740,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION,Intravenous,111
2741,METOPROLOL TARTRATE 25 MG TAB,FT,110
2742,METOPROLOL TARTRATE 25 MG PO TABS,PER G TUBE,110
2743,BISACODYL,RECT,110
2744,levothyroxine,IV,110
2745,WARFARIN SODIUM 7.5 MG PO TABS,Oral,109
2746,ETOMIDATE,INTRAVENOU,109
2747,ACETAMINOPHEN,RECT,109
2748,ACETAMINOPHEN,REC,109
