,diagnosisstring,icd9code
1058,transplant|s/p pancreas transplant|s/p pancreas transplant,"996.86, T86.899"
1059,burns/trauma|trauma - CNS|spinal cord injury|cervical|C1-C4,"952.00, S14.1"
1060,burns/trauma|trauma - CNS|spinal cord injury|cervical|C5-C7,"952.05, S14.1"
1061,burns/trauma|trauma - CNS|spinal cord injury|thoracic|T1-T6,"952.10, S24.1"
1062,burns/trauma|trauma - chest|airway trauma|tracheal|crushing,925.2
1063,burns/trauma|trauma - skeletal|bone fracture(s)|pelvis|open,808.9
1064,burns/trauma|trauma - skeletal|bone fracture(s)|ribs|closed,"807.00, S22.4"
1065,burns/trauma|trauma- head and neck|blunt injury to the neck,S10.8
1066,burns/trauma|trauma- head and neck|external ear injury|left,"872.00, S00.40"
1067,burns/trauma|trauma- head and neck|traumatic ear amputation,"872.10, S01.30"
1068,cardiovascular|arrhythmias|AV block|due to inferior wall MI,"426.10, I44.30"
1069,cardiovascular|arrhythmias|bradycardia|complete heart block,"426.0, I44.2"
1070,cardiovascular|cardiac surgery|cardiac hardware malfunction,
1071,cardiovascular|cardiac surgery|valve repair < 7 days|aortic,
1072,cardiovascular|cardiac surgery|valve repair < 7 days|mitral,
1073,cardiovascular|diseases of the aorta|aortic aneurysm|stable,"441.9, I71.9"
1074,cardiovascular|diseases of the aorta|aortic dissection|arch,"441.01, I71.01"
1075,cardiovascular|pericardial diseases|pericarditis|idiopathic,"420.91, I30.0"
1076,cardiovascular|valvular disease|valvular stenosis|tricuspid,"424.2, I07.0"
1077,cardiovascular|vascular disorders|DVT|right lower extremity,"451.2, I80.3"
1078,cardiovascular|vascular disorders|DVT|right upper extremity,"451.84, I80.8"
1079,cardiovascular|vascular disorders|hypertension|uncontrolled,"401.9, I10"
1080,cardiovascular|ventricular disorders|cardiac mural thrombus,"429.79, I51.3"
1081,cardiovascular|ventricular disorders|cardiomyopathy|dilated,I42.0
1082,cardiovascular|ventricular disorders|hypertension|malignant,"401.0, I10"
1083,endocrine|adrenal disorders|adrenal insufficiency|secondary,"255.4, E27.40"
1084,endocrine|adrenal disorders|hypotension / pressor dependent,
1085,endocrine|glucose metabolism|DKA|with altered mental status,"250.33, E10.11"
1086,gastrointestinal|GI bleeding / PUD|lower GI bleeding|rectal,"578.9, K92.2"
1087,gastrointestinal|abdominal/ general|intra-abdominal abscess,"567.22, K65.1"
1088,gastrointestinal|esophageal disease|esophagitis|regurgitant,"530.11, K21.0"
1089,gastrointestinal|hepatic disease|hepatic dysfunction|severe,"573.9, K76.9"
1090,gastrointestinal|intestinal disease|diarrhea|food poisoning,"005.9, A05.9"
1091,gastrointestinal|intestinal disease|diarrhea|non-infectious,"787.91, R19.7"
1092,gastrointestinal|intestinal disease|enteric fistula|drained,
1093,gastrointestinal|intestinal disease|enteritis|campylobacter,"008.43, A04.5"
1094,gastrointestinal|malnutrition|nutritional deficiency|severe,"261, E41"
1095,gastrointestinal|pancreatic disease|pancreatitis|infectious,"577.0, K85.8"
1096,gastrointestinal|post-GI surgery|s/p exploratory laparotomy,
1097,general|immunological diseases|systemic lupus erythematosus,"710.0, M32.10"
1098,general|quality measures|smoking cessation counseling given,
1099,general|support services|seen by discharge planning consult,
1100,hematology|bleeding and red blood cell disorders|hemorrhage,
1101,hematology|coagulation disorders|coagulopathy|liver failure,"286.7, D68.4"
1102,hematology|oncology and leukemia|leukemia|acute lymphocytic,"204.00, C91.00"
1103,hematology|oncology and leukemia|leukemia|acute myelogenous,"205.00, C92.00"
1104,infectious diseases|CNS infections|meningitis|acute|aseptic,"322.0, G03.0"
1105,infectious diseases|GI infections|diarrhea due to infection,
1106,infectious diseases|GI infections|rectal/perirectal abscess,K61.1
1107,infectious diseases|chest/pulmonary infections|empyema|left,"510.9, J86.9"
1108,infectious diseases|chest/pulmonary infections|lung abscess,"513.0, J85.2"
1109,infectious diseases|systemic/other infections|sepsis|severe,"995.92, R65.20"
1110,neurologic|CNS mass lesions|brain herniation syndrome|uncal,"348.4, G93.5"
1111,neurologic|CNS mass lesions|increased intracranial pressure,"781.99, G93.5"
1112,neurologic|altered mental status / pain|depression|moderate,"311, F32.9"
1113,neurologic|disorders of vasculature|spinal cord compression,"336.9, G95.9"
1114,neurologic|infectious disease of nervous system|CNS abscess,
1115,neurologic|neuromuscular disorders|neuropathy|from diabetes,"357.2, E10.42"
1116,neurologic|post-neurosurgery|post craniotomy|for hemorrhage,
1117,neurologic|trauma - CNS|intracranial injury|with concussion,"854.09, S06.0"
1118,oncology|hematologic malignancy|lymphoproliferative disease,
1119,pulmonary|disorders of acid base|respiratory acidosis|acute,"276.2, E87.2"
1120,pulmonary|disorders of lung parenchyma|atelectasis/collapse,"518.0, J98.11"
1121,pulmonary|disorders of lung parenchyma|pulmonary vasculitis,"417.8, I28.8"
1122,pulmonary|disorders of vasculature|DVT|left lower extremity,"451.2, I80.3"
1123,pulmonary|disorders of vasculature|DVT|left upper extremity,"451.84, I80.8"
1124,pulmonary|disorders of vasculature|pulmonary vasculitis|SLE,"447.6, I77.6"
1125,pulmonary|pleural disorders|pleural effusion|post-operative,"511.9, J91.8"
1126,pulmonary|post thoracic surgery|s/p thoracoscopic procedure,
1127,pulmonary|pulmonary infections|pneumonia|community-acquired,"486, J18.9"
1128,renal|disorder of acid base|metabolic acidosis|drug induced,"276.2, E87.2"
1129,renal|disorder of acid base|respiratory alkalosis|suspected,
1130,renal|disorder of urinary tract|renal and ureteral disorder,
1131,renal|electrolyte imbalance|hypercalcemia|due to malignancy,"275.42, E83.52"
1132,renal|electrolyte imbalance|hyperkalemia|due to hypovolemia,"276.7, E87.5"
1133,renal|electrolyte imbalance|hyperkalemia|due to tumor lysis,"276.7, E87.5"
1134,renal|electrolyte imbalance|hypocalcemia|due to tumor lysis,"275.41, E83.51"
1135,renal|electrolyte imbalance|hypomagnesemia|etiology unknown,"275.2, E83.42"
1136,surgery|general surgery postop issues|surgical complication,
1137,surgery|neurosurgical issues|brain edema|present on closure,"348.5, G93.6"
1138,surgery|neurosurgical issues|elevated intracranial pressure,"781.99, G93.5"
1139,surgery|obstetrics|vaginal hemorrhage|not pregnancy related,
1140,surgery|renal issues|metabolic acidosis|increased anion gap,"276.2, E87.2"
1141,transplant|s/p heart transplant|oliguria - heart transplant,"996.83, T86.20"
1142,transplant|s/p liver transplant|oliguria - liver transplant,"996.82, T86.40"
1143,burns/trauma|trauma - CNS|spinal cord injury|thoracic|T7-T12,"952.15, S24.1"
1144,burns/trauma|trauma - chest|pellet injury from shotgun blast,863.90
1145,burns/trauma|trauma - skeletal|bone fracture(s)|ilium|closed,"808.41, S32.30"
1146,burns/trauma|trauma - skeletal|bone fracture(s)|lumbar spine,S32.00
1147,burns/trauma|trauma - skeletal|bone fracture(s)|pubis|closed,"808.2, S32.59"
1148,burns/trauma|trauma - skeletal|bone fracture(s)|scapula|open,"811.10, S42.10"
1149,burns/trauma|trauma- head and neck|external ear injury|right,"872.00, S00.40"
1150,burns/trauma|trauma- head and neck|oral injury|missing teeth,"873.70, S01.50"
1151,burns/trauma|trauma-other injuries|open wound|knee/leg/ankle,
1152,cardiovascular|arrhythmias|AV block|left bundle branch block,"426.3, I44.7"
1153,cardiovascular|arrhythmias|SVT|Wolf-Parkinson-White syndrome,"426.7, I45.6"
1154,cardiovascular|arrhythmias|SVT|multifocal atrial tachycardia,"427.0, I47.1"
1155,cardiovascular|arrhythmias|syncope|likely non-cardiac origin,"780.2, R55"
1156,cardiovascular|arrhythmias|ventricular tachycardia|sustained,"427.1, I47.2"
1157,cardiovascular|cardiac surgery|s/p heart transplant|> 1 year,
1158,cardiovascular|cardiac surgery|valve repair >= 7 days|aortic,
1159,cardiovascular|cardiac surgery|valve repair >= 7 days|mitral,
1160,cardiovascular|diseases of the aorta|aortic aneurysm|leaking,"441.9, I71.9"
1161,cardiovascular|post vascular surgery|s/p amputation|AKA|left,
1162,cardiovascular|post vascular surgery|s/p amputation|BKA|left,
1163,cardiovascular|ventricular disorders|hypertension|controlled,"401.9, I10"
1164,gastrointestinal|GI bleeding / PUD|lower GI bleeding|colonic,"578.9, K92.2"
1165,gastrointestinal|GI bleeding / PUD|upper GI bleeding|gastric,"533.00, K92.2"
1166,gastrointestinal|GI bleeding / PUD|upper GI bleeding|varices,"456.0, I85.01"
1167,gastrointestinal|abdominal/ general|ascites|tumor associated,"789.5, R18.8"
1168,gastrointestinal|hepatic disease|hepatic dysfunction|chronic,"573.9, K76.9"
1169,gastrointestinal|hepatic disease|viral hepatitis|hepatitis A,"070.1, 573.1, B15.9"
1170,gastrointestinal|hepatic disease|viral hepatitis|hepatitis B,"070.30, 573.1, B19.10"
1171,gastrointestinal|hepatic disease|viral hepatitis|hepatitis C,"573.1, 070.51, B17.1"
1172,gastrointestinal|pancreatic disease|pancreatitis|hemorrhagic,"577.0, K85.9"
1173,gastrointestinal|pancreatic disease|pancreatitis|necrotizing,"577.8, K85.9"
1174,gastrointestinal|post-GI surgery|s/p exploratory laparoscopy,
1175,gastrointestinal|post-GI surgery|s/p surgery for GI bleeding,
1176,hematology|oncology and leukemia|lymphoproliferative disease,
1177,hematology|oncology and leukemia|myeloproliferative disorder,"238.7, D47.1"
1178,infectious diseases|CNS infections|encephalitis|viral|herpes,"054.3, B00.4"
1179,infectious diseases|chest/pulmonary infections|empyema|right,"510.9, J86.9"
1180,infectious diseases|chest/pulmonary infections|mediastinitis,"519.2, J98.5"
1181,"infectious diseases|skin, bone and joint infections|shingles","053.9, B02.9"
1182,infectious diseases|systemic/other infections|AIDS|cd4 < 100,"042, B20"
1183,neurologic|altered mental status / pain|encephalopathy|toxic,"349.82, G92"
1184,neurologic|altered mental status / pain|personality disorder,
1185,neurologic|altered mental status / pain|sedated|unresponsive,
1186,neurologic|disorders of vasculature|TIA|anterior circulation,"435.9, G45.9"
1187,neurologic|disorders of vasculature|spinal epidural hematoma,"336.9, G95.9"
1188,neurologic|infectious disease of nervous system|encephalitis,
1189,oncology|hematologic malignancy|leukemia|chronic lymphocytic,"204.10, C91.10"
1190,oncology|hematologic malignancy|leukemia|chronic myelogenous,"205.10, C92.10"
1191,pulmonary|disorders of the airways|mechanical airway problem,
1192,pulmonary|disorders of vasculature|DVT|right lower extremity,"451.2, I80.3"
1193,pulmonary|disorders of vasculature|DVT|right upper extremity,"451.84, I80.8"
1194,renal|disorder of acid base|respiratory alkalosis|iatrogenic,"276.3, E87.3"
1195,renal|disorder of urinary tract|lower urinary tract calculus,
1196,renal|electrolyte imbalance|hypomagnesemia|due to Etoh abuse,"275.2, E83.42"
1197,renal|post GU surgery|s/p procedure for nephrolithiasis|open,
1198,surgery|acute cardiac problems|AV block|complete heart block,"426.0, I44.2"
1199,surgery|acute cardiac problems|coronary artery disease|known,"414.01, I25.10"
1200,surgery|obstetrics|hemorrhage - postpartum|hypovolemic shock,"785.59, R57.1"
1201,surgery|obstetrics|hemorrhage - postpartum|retained placenta,"666.00, O72.0"
1202,surgery|respiratory failure|ventilatory failure|drug related,"518.81, J96.00"
1203,surgery|thoracic surgery|atelectasis|expected postop finding,"518.0, J98.11"
1204,toxicology|drug overdose|acetaminophen overdose|dosage known,"E980.0, 965.4, T39.1X"
1205,transplant|s/p heart transplant|rejection - heart transplant,"996.83, T86.21"
1206,transplant|s/p liver transplant|rejection - liver transplant,"996.82, T86.41"
1207,"burns/trauma|dermatology|rash, non-infectious|skin irritation","692.9, L30.9"
1208,burns/trauma|trauma - CNS|intracranial injury|with concussion,854.09
1209,burns/trauma|trauma - chest|lung trauma|with pleural effusion,861.20
1210,burns/trauma|trauma - skeletal|bone fracture(s)|base of skull,
1211,burns/trauma|trauma - skeletal|bone fracture(s)|pelvis|closed,808.8
1212,burns/trauma|trauma - skeletal|bone fracture(s)|sacrum|closed,"805.6, S32.1"
1213,burns/trauma|trauma - skeletal|extremity compartment syndrome,"443.9, I73.9"
1214,burns/trauma|trauma- head and neck|eye injury-open globe|left,"871.9, S05"
1215,"burns/trauma|trauma-other injuries|unspecified injury, trauma",
1216,cardiovascular|arrhythmias|AV block|right bundle branch block,"426.4, I45.10"
1217,cardiovascular|arrhythmias|SVT|without hemodynamic compromise,"427.0, I47.1"
1218,cardiovascular|arrhythmias|accelerated idioventricular rhythm,"427.9, I49.9"
1219,cardiovascular|diseases of the aorta|aortic aneurysm|ruptured,"441.9, I71.9"
1220,cardiovascular|diseases of the aorta|aortic aneurysm|thoracic,"441.2, I71.2"
1221,cardiovascular|diseases of the aorta|aortic dissection|Type A,"441.01, I71.01"
1222,cardiovascular|diseases of the aorta|aortic dissection|Type B,"441.01, I71.01"
1223,cardiovascular|post vascular surgery|s/p amputation|AKA|right,
1224,cardiovascular|post vascular surgery|s/p amputation|BKA|right,
1225,cardiovascular|valvular disease|valvular stenosis|compensated,
1226,cardiovascular|vascular disorders|pulmonary embolism|thrombus,"415.19, I26.99"
1227,cardiovascular|ventricular disorders|congestive heart failure,"428.0, I50.9"
1228,cardiovascular|ventricular disorders|low cardiac output state,"428.9, I50.9"
1229,gastrointestinal|GI bleeding / PUD|upper GI bleeding|duodenal,"578.9, K92.2"
1230,gastrointestinal|esophageal disease|foreign body in esophagus,"935.1, T18.10"
1231,gastrointestinal|hepatic disease|hepatic dysfunction|moderate,"573.9, K76.9"
1232,gastrointestinal|intestinal disease|enteritis|E. coli O157:H7,"008.00, A04.4"
1233,gastrointestinal|malnutrition|nutritional deficiency|moderate,"263.0, E44.0"
1234,gastrointestinal|post-GI surgery|s/p surgery for cancer|colon,
1235,gastrointestinal|post-GI surgery|s/p surgery for cancer|liver,
1236,general|support services|seen by occupational therapy consult,
1237,hematology|bleeding and red blood cell disorders|pancytopenia,"284.8, D61.9"
1238,hematology|bleeding and red blood cell disorders|polycythemia,
1239,hematology|oncology and leukemia|leukemia|chronic lymphocytic,"204.10, C91.10"
1240,hematology|oncology and leukemia|leukemia|chronic myelogenous,"205.10, C92.10"
1241,hematology|platelet disorders|thrombocytopenia|HELLP syndrome,"287.5, D69.6"
1242,infectious diseases|CNS infections|CNS abscess|organism known,
1243,infectious diseases|CNS infections|meningitis|acute|bacterial,"320.7, 320.7, 320.7, 320.7, 320.7, 320.7, G00.9"
1244,infectious diseases|GI infections|viral hepatitis|hepatitis C,"573.1, 070.30, B17.1"
1245,infectious diseases|chest/pulmonary infections|bronchiectasis,"494.1, J47.1"
1246,infectious diseases|chest/pulmonary infections|empyema|fungal,"117.9, 510.9, J86.9"
1247,infectious diseases|head and neck infections|sinusitis|fungal,"461.9, J01.90"
1248,infectious diseases|systemic/other infections|viral infection,
1249,musculoskeletal|connective tissue |arthropathy|joint disorder,
1250,neurologic|CNS mass lesions|brain herniation syndrome|central,"348.4, G93.5"
1251,neurologic|CNS mass lesions|cerebral mass of unknown etiology,784.2
1252,neurologic|disorders of vasculature|stroke|hemorrhagic stroke,"432.9, I62.9"
1253,neurologic|trauma - CNS|spinal cord injury|hemiplegia-partial,"342.90, G81.90"
1254,neurologic|trauma - CNS|spinal cord injury|paraplegia-partial,"344.1, G82.22"
1255,oncology|hematologic malignancy|leukemia|acute myelogenous|M1,"205.00, C92.00"
1256,oncology|hematologic malignancy|leukemia|acute myelogenous|M4,"205.00, C92.00"
1257,"oncology|skin, muscle and skeletal tumors|soft tissue sarcoma","171.9, C49.9"
1258,pulmonary|disorders of acid base|respiratory acidosis|chronic,"276.2, E87.2"
1259,pulmonary|disorders of the airways|asthma / bronchospasm|mild,"493.90, J45"
1260,pulmonary|pleural disorders|empyema|associated with pneumonia,"510.9, 486, J86.9"
1261,pulmonary|pleural disorders|pleural effusion|etiology unknown,"511.9, J91.8"
1262,pulmonary|post thoracic surgery|s/p thoracotomy|decortication,
1263,pulmonary|post thoracic surgery|s/p thoracotomy|pneumonectomy,
1264,pulmonary|pulmonary infections|empyema|bacterial|staph aureus,"041.11, 510.9, B95.6, J86.9"
1265,pulmonary|pulmonary infections|pneumonia|opportunistic|fungal,"484.7, 484.7, 484.7, 484.7, J17"
1266,pulmonary|trauma|lung trauma|with pleural effusion|hemothorax,860.2
1267,renal|disorder of kidney|acute renal failure|etiology unknown,"584.9, N17.9"
1268,renal|electrolyte imbalance|hyperkalemia|due to excess intake,"276.7, E87.5"
1269,renal|electrolyte imbalance|hyperkalemia|due to renal disease,"276.7, E87.5"
1270,renal|electrolyte imbalance|hypocalcemia|due to renal failure,"275.41, E83.51"
1271,renal|electrolyte imbalance|hypokalemia|due to hypomagnesemia,"276.8, E87.6"
1272,renal|electrolyte imbalance|hyponatremia|due to renal disease,"276.1, E87.0"
1273,surgery|acute cardiac problems|bradycardia|etiology undefined,"427.81, R00.1"
1274,surgery|altered mental status / pain|drug withdrawal syndrome,"292.0, F19.939"
1275,surgery|cardiac surgery|myocardial infarction|no ST elevation,"410.71, I21.4"
1276,surgery|cardiac surgery|sternotomy problems|sternal infection,998.59
1277,surgery|renal issues|hyperkalemia|moderate ( 5.5 -6.1 meq/dl),"276.7, E87.5"
1278,surgery|renal issues|hyponatremia|moderate (125 - 135 meq/dl),"276.1, E87.1"
1279,toxicology|drug overdose|cocaine overdose|with CNS hemorrhage,"431, 968.5, I61.9, T40.5"
1280,transplant|s/p kidney transplant|oliguria - kidney transplant,"996.81, T86.10"
1281,transplant|s/p liver transplant|hemorrhage - liver transplant,"996.82, T86.40"
1282,burns/trauma|trauma - abdomen|pellet injury from shotgun blast,863.90
1283,burns/trauma|trauma - chest|chest wall trauma|with flail chest,807.4
1284,burns/trauma|trauma - chest|lung trauma|with contusion of lung,861.21
1285,burns/trauma|trauma - skeletal|bone fracture(s)|cervical spine,S12
1286,burns/trauma|trauma - skeletal|bone fracture(s)|scapula|closed,"811.00, S42.10"
1287,burns/trauma|trauma - skeletal|bone fracture(s)|sternum|closed,"807.2, S22.2"
1288,burns/trauma|trauma - skeletal|bone fracture(s)|thoracic spine,S22.00
1289,burns/trauma|trauma- head and neck|eye injury-open globe|right,"871.9, S05"
1290,cardiovascular|arrhythmias|bradycardia|due to inferior wall MI,"427.81, 410.41, I21.19, R00.1"
1291,cardiovascular|cardiac surgery|valve repair < 7 days|tricuspid,
1292,cardiovascular|chest pain / ASHD|coronary artery disease|known,"414.00, I25.10"
1293,cardiovascular|diseases of the aorta|aortic aneurysm|abdominal,"441.4, I71.4"
1294,cardiovascular|pericardial diseases|pericardial effusion|viral,"423.9, I31.9"
1295,cardiovascular|pericardial diseases|pericarditis|post-surgical,"420.90, I30.9"
1296,cardiovascular|post vascular surgery|s/p aortobifemoral bypass,
1297,cardiovascular|vascular disorders|peripheral vascular ischemia,
1298,cardiovascular|vascular disorders|pulmonary embolism|suspected,
1299,cardiovascular|ventricular disorders|hypertension|uncontrolled,"401.9, I10"
1300,endocrine|fluids and electrolytes|SIADH|from pulmonary process,"253.6, E22.2"
1301,endocrine|pituitary and temperature regulation|hypopituitarism,"253.2, E23.0"
1302,gastrointestinal|GI bleeding / PUD|upper GI bleeding|gastritis,"535.01, K92.2"
1303,gastrointestinal|abdominal/ general|ascites|with liver disease,"789.5, R18.8"
1304,gastrointestinal|biliary disease|biliary obstruction|stricture,"575.2, K82.0"
1305,gastrointestinal|hepatic disease|toxic hepatitis|toxin related,"573.3, T71.2"
1306,gastrointestinal|intestinal disease|enteric fistula|intestinal,"569.81, K63.2"
1307,gastrointestinal|intestinal disease|viscus perforation|bladder,"596.6, N32.89"
1308,gastrointestinal|intestinal disease|viscus perforation|colonic,"569.83, K63.1"
1309,gastrointestinal|intestinal disease|viscus perforation|gastric,"537.9, K31.9"
1310,gastrointestinal|post-GI surgery|s/p surgery for cancer|rectal,
1311,general|immunological diseases|mixed connective tissue disease,"710.8, M35.1"
1312,hematology|bleeding and red blood cell disorders|hemolysis|HUS,"283.11, D59.3"
1313,hematology|bleeding and red blood cell disorders|hemolysis|TTP,"446.6, M31.1"
1314,hematology|coagulation disorders|DIC syndrome|etiology unknown,"286.6, D65"
1315,hematology|oncology and leukemia|leukemia|acute myelogenous|M2,"205.00, C92.00"
1316,hematology|platelet disorders|thrombocytopenia|alcohol-related,"287.5, D69.6"
1317,hematology|platelet disorders|thrombocytopenia|heparin-induced,"287.5, D69.6"
1318,hematology|white blood cell disorders|eosinophilia|from cancer,"288.3, D72.1"
1319,infectious diseases|CNS infections|CNS abscess|spinal epidural,"324.1, G06.1"
1320,"infectious diseases|skin, bone and joint infections|cellulitis","682.9, L03.90"
1321,infectious diseases|systemic/other infections|AIDS|cd4 unknown,"042, B20"
1322,"neurologic|CNS mass lesions|brain tumor|astrocytoma, low-grade","191.9, C71.9"
1323,neurologic|CNS mass lesions|brain tumor|metastatic brain tumor,"198.3, C79.31"
1324,neurologic|altered mental status / pain|encephalopathy|hepatic,572.2
1325,neurologic|altered mental status / pain|psychoses of childhood,
1326,neurologic|disorders of vasculature|cerebral epidural hematoma,"432.9, I62.9"
1327,neurologic|disorders of vasculature|cerebral subdural hematoma,"432.9, I62.9"
1328,neurologic|neuromuscular disorders|myopathy|muscular dystrophy,"359.89, G72.89"
1329,neurologic|neuromuscular disorders|myopathy|periodic paralysis,"359.89, G72.89"
1330,neurologic|neuromuscular disorders|neuropathy|from alcohol use,"357.5, G62.1"
1331,neurologic|trauma - CNS|intracranial injury|with increased ICP,"G93.5, S06.9"
1332,neurologic|trauma - CNS|spinal cord injury|paraplegia-complete,"344.1, G82.21"
1333,oncology|head and neck tumors|neck tumor|oro/hypopharyngeal CA,"148.9, C13.9"
1334,pulmonary|disorders of vasculature|pulmonary embolism|thrombus,"415.19, I26.99"
1335,pulmonary|pulmonary infections|pneumonia|ventilator-associated,"486, J18.9"
1336,pulmonary|respiratory failure|failure to wean|etiology unknown,
1337,pulmonary|trauma|lung trauma|with pleural effusion|chylothorax,"861.20, J94.0"
1338,renal|disorder of acid base|metabolic acidosis|lactic acidosis,"276.2, E87.2"
1339,renal|disorder of acid base|metabolic acidosis|uremic acidosis,"276.2, E87.2"
1340,renal|disorder of kidney|chronic kidney disease|hydronephrosis,
1341,renal|electrolyte imbalance|hyperkalemia|due to rhabdomyolysis,"276.7, E87.5"
1342,renal|electrolyte imbalance|hyperkalemia|severe (> 6.1 meq/dl),"276.7, E87.5"
1343,renal|electrolyte imbalance|hypocalcemia|due to rhabdomyolysis,"275.41, E83.51"
1344,renal|electrolyte imbalance|hypokalemia|severe ( < 2.8 meq/dl),"276.8, E87.6"
1345,renal|electrolyte imbalance|hyponatremia|severe (< 125 meq/dl),"276.1, E87.1"
1346,renal|post GU surgery|s/p procedure for nephrolithiasis|closed,
1347,surgery|head and neck surgery|s/p head and neck cancer surgery,
1348,surgery|neurosurgical issues|airway protection ability unknown,
1349,surgery|thoracic surgery|hemorrhage|known coagulopathy present,"998.11, R58"
1350,toxicology|drug overdose|acetaminophen overdose|dosage unknown,"965.4, E980.0, T39.1X"
1351,transplant|s/p heart transplant|hypotension - heart transplant,"996.83, T86.20"
1352,transplant|s/p kidney transplant|rejection - kidney transplant,"996.81, T86.11"
1353,transplant|s/p liver transplant|hypotension - liver transplant,"996.82, T86.40"
1354,transplant|s/p pancreas transplant|fever - pancreas transplant,"996.86, T86.899"
1355,"burns/trauma|dermatology|rash, non-infectious|drug related rash","693.0, L27.0"
1356,burns/trauma|trauma - CNS|spinal cord injury|hemiplegia-partial,"342.90, G81.90"
1357,burns/trauma|trauma - CNS|spinal cord injury|paraplegia-partial,344.1
1358,burns/trauma|trauma - abdomen|hepatic trauma|grade I laceration,864.05
1359,burns/trauma|trauma - abdomen|hepatic trauma|grade V laceration,864.05
1360,burns/trauma|trauma - abdomen|penetrating vascular trauma|aorta,"902.0, S35.0"
1361,burns/trauma|trauma - abdomen|splenic trauma|grade I laceration,865.00
1362,burns/trauma|trauma - abdomen|splenic trauma|grade V laceration,865.00
1363,burns/trauma|trauma - chest|lung trauma|with laceration of lung,861.32
1364,burns/trauma|trauma - skeletal|bone fracture(s)|clavicle|closed,"810.00, S42.00"
1365,burns/trauma|trauma - skeletal|rhabdomyolysis|with hyperkalemia,728.89
1366,cardiovascular|arrhythmias|AV block|second degree|Mobitz type 2,"426.12, I44.1"
1367,cardiovascular|arrhythmias|AV block|second degree|Mobitz type I,"426.13, I44.1"
1368,cardiovascular|cardiac surgery|valve repair >= 7 days|tricuspid,
1369,cardiovascular|cardiac surgery|valve replacement < 7days|aortic,
1370,cardiovascular|cardiac surgery|valve replacement < 7days|mitral,
1371,cardiovascular|post vascular surgery|s/p cartoid endarterectomy,
1372,cardiovascular|valvular disease|valvular insufficiency|with CHF,
1373,cardiovascular|vascular disorders|vasculitis|temporal arteritis,"446.5, M31.6"
1374,cardiovascular|ventricular disorders|cardiomyopathy|peri-partum,"674.50, O90.3"
1375,endocrine|adrenal disorders|Cushing's syndrome|hypercortisolism,"255.0, E24.9"
1376,endocrine|fluids and electrolytes|hypomagnesemia|due to GI loss,"275.2, E83.42"
1377,endocrine|fluids and electrolytes|hyponatremia|due to cirrhosis,"276.1, E87.1"
1378,endocrine|fluids and electrolytes|hyponatremia|due to diuretics,"276.1, E87.1"
1379,endocrine|fluids and electrolytes|hyponatremia|etiology unknown,"276.1, E87.1"
1380,gastrointestinal|GI bleeding / PUD|peptic ulcer disease|gastric,"531.90, K25.9"
1381,gastrointestinal|GI bleeding / PUD|upper GI bleeding|esophageal,"530.82, K22.8"
1382,gastrointestinal|abdominal/ general|abdominal pain / tenderness,"789.00, R10.9"
1383,gastrointestinal|abdominal/ general|ascites|dialysis associated,"789.5, R18.8"
1384,gastrointestinal|abdominal/ general|pelvic abscess|male patient,"567.21, K61.1"
1385,gastrointestinal|biliary disease|biliary obstruction|acalculous,"575.2, K82.0"
1386,gastrointestinal|intestinal disease|inflammatory  bowel disease,
1387,gastrointestinal|intestinal disease|viscus perforation|duodenal,"537.9, K31.9"
1388,gastrointestinal|post-GI surgery|s/p surgery for cancer|gastric,
1389,gastrointestinal|post-GI surgery|s/p surgery for morbid obesity,
1390,general|immunological diseases|systemic sclerosis (scleroderma),"710.1, M34.0"
1391,hematology|platelet disorders|thrombocytopenia|etiology unknown,"287.5, D69.6"
1392,hematology|white blood cell disorders|leukocytosis|neutrophilia,"288.8, D72.828"
1393,infectious diseases|CNS infections|CNS abscess|brain / cerebral,"324.0, G06.0"
1394,infectious diseases|CNS infections|encephalitis|viral|suspected,
1395,infectious diseases|GI infections|peritonitis|procedure related,"567.21, K65.0"
1396,infectious diseases|GU infections|lower urinary tract infection,"595.9, N30.9"
1397,infectious diseases|systemic/other infections|fever|heat stroke,992.0
1398,infectious diseases|vascular infections|neurovascular infection,
1399,infectious diseases|vascular infections|septic thrombophlebitis,"451.9, I80.9"
1400,neurologic|CNS mass lesions|brain herniation syndrome|brainstem,"348.4, G93.5"
1401,"neurologic|CNS mass lesions|brain tumor|astrocytoma, high-grade","191.9, C71.9"
1402,neurologic|CNS mass lesions|brain tumor|glioblastoma multiforme,"191.9, C71.9"
1403,neurologic|altered mental status / pain|change in mental status,"780.09, R41.82"
1404,neurologic|altered mental status / pain|intellectual disability,
1405,neurologic|neuromuscular disorders|myopathy|congenital myopathy,"359.89, G72.89"
1406,neurologic|neuromuscular disorders|sensory neuropathy|with pain,"357.9, G61.9"
1407,neurologic|post-neurosurgery|post functional procedure|for pain,
1408,neurologic|post-neurosurgery|post neurointerventional procedure,
1409,neurologic|sensory organ|eye/adnexa disorder|visual disturbance,
1410,neurologic|trauma - CNS|spinal cord injury|quadriplegia-partial,"344.00, G82.50"
1411,oncology|chest tumors|primary lung cancer|poorly-differentiated,"162.9, C34.90"
1412,pulmonary|disorders of acid base|respiratory acidosis|suspected,
1413,pulmonary|disorders of lung parenchyma|pulmonary vasculitis|SLE,"447.6, I77.6"
1414,pulmonary|disorders of the airways|asthma / bronchospasm|severe,"493.90, J45"
