drugname,generic_name,pred_11,pred_12,all_pred_12,consistency_12,pred_13,pred_14,all_pred_14,consistency_14,pred_15,pred_16,all_pred_16,consistency_16,pred_17,pred_18,all_pred_18,consistency_18,pred_19,pred_20,all_pred_20,consistency_20
473 ML - CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0
1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
TYLENOL,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
GLUCAGON 1 MG (1 UNIT) INJ,glucagon,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
METOPROLOL TARTRATE 25 MG PO TABS,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate ->,metoprolol tartrate ->,"['metoprolol tartrate ->', 'metoprolol tartrate ->', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate ->']",0.6,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate ->', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",0.8,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
fentaNYL,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
MAGNESIUM SULF 2 G/50 ML NS,magnesium sulfate,magnesium,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
500 ML - SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
FUROSEMIDE,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
propofol,propofol,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0
D50,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,50% dextrose,dextrose,"['dextrose', 'dextrose', '50% dextrose', 'dextrose', 'dextrose']",0.8,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
BISACODYL 10 MG RE SUPP,bisacodyl,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0
DEXTROSE 50% 25 GRAM/50 ML SYR,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
ONDANSETRON HCL 4 MG/2ML IJ SOLN,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
ACETAMINOPHEN,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
DILAUDID,hydromorphone,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0
NITROGLYCERIN 0.4 MG SL SUBL,nitroglycerin,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0
4 ML - FUROSEMIDE 10 MG/ML IJ SOLN,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
37.5 G TUBE : GLUCOSE 40 % PO GEL,glucose,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,dextrose,dextrose,"['dextrose', 'glucose', 'glucose', 'dextrose', 'dextrose']",0.6
MAGNESIUM OXIDE 400 MG TAB,magnesium oxide,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0
ATIVAN,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
DEXTROSE 50%,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
LOVENOX,enoxaparin,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0
DUONEB,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium/albuterol,"['ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol']",1.0,tobramycin/sulbact,tobramycin/sulbact,"['tobramycin/sulbact', 'tobramycin/sulbact', 'tobramycin/sulbact', 'tobramycin/sulbact', 'tobramycin/iloprost']",0.8,tobramycin and ipratrop,tobramycin and ipratrop,"['tobramycin and ipratrop', 'tobramycin and ipratrop', 'tobramycin and ipratrop', 'duoneb is a combination of ip', 'tobramycin and ipratrop']",0.8,duoneb is a combination of ip,duoneb is a combination of ip,"['duoneb is a combination of ip', 'duoneb is a combination of ip', 'tobramycin-sulbact', 'duoneb is a combination of ip', 'duoneb is a combination of ip']",0.8,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0
INSULIN-GLARGINE *UNIT* INJ,insulin glargine,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0
MAGNESIUM SULFATE 2 G IN NS PREMIX,magnesium sulfate,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
GLUCAGEN,glucagon,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0
SODIUM CHLORIDE 0.9% 250 ML LVP,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
1000 ML - DEXTROSE 5 % IV SOLN,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
MORPHINE 4 MG/1 ML 1 ML SYR,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
NORCO,acetaminophen / hydrocodone,hydrocodone/acetaminophen,hydrocodone/acetaminophen,"['hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen']",1.0,hydrocodone/acetaminophen,hydrocodone/acetaminophen,"['hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen', 'hydrocodone/acetaminophen']",1.0,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone and acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone and acetaminophen']",0.6,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-apap']",0.8,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0
NSS infusion,sodium chloride 9 mg/ml,normal saline,normal saline solution,"['normal saline solution', 'normal saline solution', 'normal saline', 'normal saline', 'normal saline solution']",0.6,normal saline solution,normal saline solution,"['normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline']",0.8,normal saline solution,normal saline solution,"['normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution']",1.0,normal saline solution,normal saline solution,"['normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution']",1.0,normal saline solution,normal saline solution,"['normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution', 'normal saline solution']",1.0
Lasix,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
MORPHINE INJ,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
SODIUM CHLORIDE 0.9% 1000 ML PB,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
potassium CHLORIDE 20 MEQ UD LIQ,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
1 ML - HYDROMORPHONE HCL 1 MG/ML IJ SOLN,hydromorphone,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0,hydromorphone,hydromorphone,"['hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone', 'hydromorphone']",1.0
FUROSEMIDE,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
