drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride -> potassium chloride  the generic,potassium chloride -> potassium chloride (no change,"['potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride', 'potassium chloride -> potassium chloride (no change']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Senna,senna,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0
Ondansetron,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
Calcium Gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate -> calcium glucon']",0.6,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate -> calcium glucon']",0.6,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate']",1.0
LR,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,lactated ringers,lactated ringers,"['lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers']",1.0,levothyroxine,levothyroxine,"['levothyroxine', 'levothyroxine', 'levothyroxine', 'levothyroxine', 'levothyroxine']",1.0,levorphanol,levorphanol,"['levorphanol', 'levorphanol', 'levorphanol', 'levorphanol', 'levorphanol']",1.0,levorphanol,levorphanol,"['levorphanol', 'levorphanol', 'levorphanol', 'levorphanol', 'levorphanol']",1.0,levetiracetam,levetiracetam,"['levetiracetam', 'levetiracetam', 'levetiracetam', 'levetiracetam', 'levetiracetam']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,"['potassium chloride', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride', 'potassium chloride -> potassium chloride (no change']",0.4,unsure,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Heparin Flush (10 units/ml),heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride -> potassium chloride (no change,"['potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride -> potassium chloride (no change', 'potassium chloride']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0
Senna,senna,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0
Calcium Carbonate,calcium carbonate,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,"['potassium chloride', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic']",0.4,unsure,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Calcium Gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate,"['calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate']",0.6,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate']",1.0
Insulin,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0
Morphine Sulfate,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
Warfarin,warfarin,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0
Ipratropium Bromide Neb,ipatropium,ipratropium,ipratropium,"['ipratropium', 'ipratropium', 'ipratropium', 'ipratropium', 'ipratropium']",1.0,ipratropium bromide,ipratropium bromide,"['ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide']",1.0,ipratropium bromide,ipratropium bromide,"['ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide']",1.0,ipratropium bromide,ipratropium bromide,"['ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide', 'ipratropium bromide']",1.0,ipratropium,ipratropium,"['ipratropium', 'ipratropium', 'ipratropium', 'ipratropium', 'ipratropium']",1.0
Multivitamins,multivitamin,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0
Warfarin,warfarin,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
OxyCODONE (Immediate Release),oxycodone,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0
Omeprazole,omeprazole,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Magnesium Sulfate,magnesium sulfate,magnesium,magnesium sulfate -> magnesium,"['magnesium sulfate would be classified as m', 'magnesium sulfate -> magnesium', 'magnesium sulfate -> magnesium', 'magnesium sulfate -> magnesium', 'magnesium']",0.6,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate (no change,"['magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change']",0.6,magnesium sulfate,magnesium sulfate -> magnesium sulfate  the generic,"['magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate  the generic']",0.8,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Ondansetron,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
Warfarin,warfarin,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0
Calcium Carbonate,calcium carbonate,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0,calcium carbonate,calcium carbonate,"['calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate', 'calcium carbonate']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Morphine Sulfate,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
Milk of Magnesia,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0
CefePIME,cefepime,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,ceferpime,ceferpime,"['ceferpime', 'ceferpime', 'ceferpime', 'ceferpime', 'ceferpime']",1.0,ceftepime,ceftepime,"['ceftepime', 'ceftepime', 'ceftepime', 'ceftepime', 'ceftepime']",1.0
Magnesium Sulfate,magnesium sulfate,magnesium sulfate -> magnesium,"['magnesium sulfate -> magnesium', 'magnesium sulfate would be classified as magnesium.', 'magnesium sulfate -> magnesium', 'magnesium sulfate would be classified as m', 'magnesium sulfate would be classified as magnesium.']",0.4,unsure,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate (no change,"['magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate  the generic']",0.8,magnesium sulfate -> magnesium sulfate (no change,"['magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate  the generic']",0.4,unsure,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
Propofol,propofol,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0,propofol,propofol,"['propofol', 'propofol', 'propofol', 'propofol', 'propofol']",1.0
Potassium Phosphate,potassium phosphate,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Magnesium Oxide,magnesium oxide,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0,magnesium oxide,"['magnesium oxide', 'magnesium oxide -> magnesium oxide  the generic', 'magnesium oxide', 'magnesium oxide -> magnesium oxide  the generic', 'magnesium oxide -> magnesium oxide']",0.4,unsure,magnesium oxide,magnesium oxide,"['magnesium oxide -> magnesium oxide (no change', 'magnesium oxide -> magnesium oxide (no change', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",0.6,magnesium oxide,magnesium oxide,"['magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide', 'magnesium oxide']",1.0
Piperacillin-Tazobactam,piperacillin-tazobactam,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0
